order_id,Warehouse_block,shipment_mode,care_calls,customer_rating,product_cost,Prior_purchases,product_importance,Gender,discount_pct,weight_gms,on_time,estimated_revenue,gross_margin,discount_impact,shipping_cost,return_loss,net_margin,net_margin_rate,delivery_status,discount_bucket
18,F,Ship,5,5,227,3,medium,M,36,3952,1,354.69,127.69,127.69,7.9,29.76,-37.66,-10.62,Livré à temps,26-50%
19,D,Ship,5,5,239,3,high,M,18,2495,1,291.46,52.46,52.46,4.99,24.45,-29.44,-10.1,Livré à temps,11-25%
20,F,Ship,4,5,145,3,medium,M,45,1059,1,263.64,118.64,118.64,2.12,22.12,-24.24,-9.19,Livré à temps,26-50%
21,A,Ship,3,3,161,2,medium,F,38,1521,1,259.68,98.68,98.68,3.04,21.79,-24.83,-9.56,Livré à temps,26-50%
22,B,Ship,3,1,232,4,medium,F,51,2899,1,473.47,241.47,241.47,5.8,39.72,-45.52,-9.61,Livré à temps,>50%
23,C,Ship,2,5,156,2,low,M,2,1750,1,159.18,3.18,3.18,3.5,13.36,-16.86,-10.59,Livré à temps,1-10%
24,F,Ship,4,3,211,3,high,M,12,3922,1,239.77,28.77,28.77,7.84,20.12,-27.96,-11.66,Livré à temps,11-25%
25,D,Ship,4,5,251,2,medium,F,28,3561,1,348.61,97.61,97.61,7.12,29.25,-36.37,-10.43,Livré à temps,26-50%
26,F,Ship,3,1,225,4,low,M,29,3496,1,316.9,91.9,91.9,6.99,26.59,-33.58,-10.6,Livré à temps,26-50%
27,A,Ship,4,1,172,3,high,F,24,1066,1,226.32,54.32,54.32,2.13,18.99,-21.12,-9.33,Livré à temps,11-25%
28,B,Ship,5,1,162,3,medium,M,31,1435,1,234.78,72.78,72.78,2.87,19.7,-22.57,-9.61,Livré à temps,26-50%
29,C,Ship,2,3,234,4,low,M,44,3134,1,417.86,183.86,183.86,6.27,35.06,-41.33,-9.89,Livré à temps,26-50%
30,F,Ship,5,4,183,2,low,F,36,3819,1,285.94,102.94,102.94,7.64,23.99,-31.63,-11.06,Livré à temps,26-50%
31,D,Ship,3,4,266,2,medium,F,38,2741,1,429.03,163.03,163.03,5.48,36.0,-41.48,-9.67,Livré à temps,26-50%
32,F,Ship,5,3,257,2,low,F,61,3341,1,658.97,401.97,401.97,6.68,55.29,-61.97,-9.4,Livré à temps,>50%
33,A,Ship,3,1,223,3,low,F,22,3795,1,285.9,62.9,62.9,7.59,23.99,-31.58,-11.05,Livré à temps,11-25%
34,B,Ship,4,2,234,3,medium,M,4,3261,1,243.75,9.75,9.75,6.52,20.45,-26.97,-11.06,Livré à temps,1-10%
35,C,Ship,4,2,227,4,medium,F,22,2460,1,291.03,64.03,64.03,4.92,24.42,-29.34,-10.08,Livré à temps,11-25%
36,F,Ship,5,4,149,3,medium,F,44,1811,1,266.07,117.07,117.07,3.62,22.32,-25.94,-9.75,Livré à temps,26-50%
37,D,Ship,3,5,137,4,high,F,62,1477,1,360.53,223.53,223.53,2.95,30.25,-33.2,-9.21,Livré à temps,>50%
38,F,Ship,2,4,181,6,medium,F,16,3605,1,215.48,34.48,34.48,7.21,18.08,-25.29,-11.74,Livré à temps,11-25%
39,A,Ship,5,1,215,4,low,F,56,3905,1,488.64,273.64,273.64,7.81,41.0,-48.81,-9.99,Livré à temps,>50%
40,B,Ship,4,2,269,5,low,F,45,2383,1,489.09,220.09,220.09,4.77,41.03,-45.8,-9.36,Livré à temps,26-50%
41,C,Ship,5,1,227,2,low,M,15,3798,1,267.06,40.06,40.06,7.6,22.41,-30.01,-11.24,Livré à temps,11-25%
42,F,Ship,5,5,139,4,medium,M,61,1265,1,356.41,217.41,217.41,2.53,29.9,-32.43,-9.1,Livré à temps,>50%
43,D,Ship,3,5,137,2,medium,M,38,1647,1,220.97,83.97,83.97,3.29,18.54,-21.83,-9.88,Livré à temps,26-50%
44,F,Ship,3,1,174,2,low,M,44,1556,1,310.71,136.71,136.71,3.11,26.07,-29.18,-9.39,Livré à temps,26-50%
45,A,Ship,3,1,151,2,low,M,29,1328,1,212.68,61.68,61.68,2.66,17.84,-20.5,-9.64,Livré à temps,26-50%
46,B,Ship,5,1,210,3,low,F,9,2944,1,230.77,20.77,20.77,5.89,19.36,-25.25,-10.94,Livré à temps,1-10%
47,C,Ship,3,4,169,4,medium,F,32,1245,1,248.53,79.53,79.53,2.49,20.85,-23.34,-9.39,Livré à temps,26-50%
48,F,Ship,5,1,160,2,low,M,32,1576,1,235.29,75.29,75.29,3.15,19.74,-22.89,-9.73,Livré à temps,26-50%
49,D,Ship,5,4,190,2,medium,M,9,3753,1,208.79,18.79,18.79,7.51,17.52,-25.03,-11.99,Livré à temps,1-10%
50,F,Ship,5,3,216,3,low,F,40,2146,1,360.0,144.0,144.0,4.29,30.2,-34.49,-9.58,Livré à temps,26-50%
51,A,Ship,4,1,183,3,low,M,37,2042,1,290.48,107.48,107.48,4.08,24.37,-28.45,-9.79,Livré à temps,26-50%
52,B,Ship,4,4,141,3,low,M,22,1735,1,180.77,39.77,39.77,3.47,15.17,-18.64,-10.31,Livré à temps,11-25%
53,C,Ship,4,3,165,3,low,F,44,1320,1,294.64,129.64,129.64,2.64,24.72,-27.36,-9.29,Livré à temps,26-50%
54,F,Ship,2,1,170,3,low,M,41,1128,1,288.14,118.14,118.14,2.26,24.17,-26.43,-9.17,Livré à temps,26-50%
55,D,Ship,4,3,203,3,high,M,12,3539,1,230.68,27.68,27.68,7.08,19.35,-26.43,-11.46,Livré à temps,11-25%
56,F,Ship,2,5,246,5,low,M,46,2437,1,455.56,209.56,209.56,4.87,38.22,-43.09,-9.46,Livré à temps,26-50%
57,A,Ship,3,3,238,3,low,F,61,3096,1,610.26,372.26,372.26,6.19,51.2,-57.39,-9.4,Livré à temps,>50%
58,B,Ship,3,3,193,3,medium,F,29,3453,1,271.83,78.83,78.83,6.91,22.81,-29.72,-10.93,Livré à temps,26-50%
59,C,Ship,5,5,141,3,high,M,41,1367,1,238.98,97.98,97.98,2.73,20.05,-22.78,-9.53,Livré à temps,26-50%
60,F,Ship,4,1,150,3,high,F,17,1923,1,180.72,30.72,30.72,3.85,15.16,-19.01,-10.52,Livré à temps,11-25%
61,D,Ship,3,1,221,3,low,F,64,2794,1,613.89,392.89,392.89,5.59,51.51,-57.1,-9.3,Livré à temps,>50%
62,F,Ship,3,3,179,3,medium,M,52,1158,1,372.92,193.92,193.92,2.32,31.29,-33.61,-9.01,Livré à temps,>50%
63,A,Ship,5,1,105,6,medium,M,62,1292,1,276.32,171.32,171.32,2.58,23.18,-25.76,-9.32,Livré à temps,>50%
64,B,Ship,3,1,177,3,medium,M,61,1880,1,453.85,276.85,276.85,3.76,38.08,-41.84,-9.22,Livré à temps,>50%
65,C,Ship,4,5,261,2,high,M,49,3045,1,511.76,250.76,250.76,6.09,42.94,-49.03,-9.58,Livré à temps,26-50%
66,F,Ship,3,2,202,3,low,M,49,2881,1,396.08,194.08,194.08,5.76,33.23,-38.99,-9.84,Livré à temps,26-50%
67,D,Ship,3,2,109,3,medium,F,15,1710,1,128.24,19.24,19.24,3.42,10.76,-14.18,-11.06,Livré à temps,11-25%
68,F,Ship,3,3,158,3,low,F,6,1878,1,168.09,10.09,10.09,3.76,14.1,-17.86,-10.63,Livré à temps,1-10%
69,A,Ship,4,2,231,4,medium,F,6,2512,1,245.74,14.74,14.74,5.02,20.62,-25.64,-10.43,Livré à temps,1-10%
70,B,Ship,3,5,206,3,medium,M,39,2929,1,337.7,131.7,131.7,5.86,28.33,-34.19,-10.12,Livré à temps,26-50%
71,C,Ship,5,1,187,4,high,M,14,3849,1,217.44,30.44,30.44,7.7,18.24,-25.94,-11.93,Livré à temps,11-25%
72,F,Ship,5,5,230,2,low,F,2,2229,1,234.69,4.69,4.69,4.46,19.69,-24.15,-10.29,Livré à temps,1-10%
73,D,Ship,5,5,232,3,medium,F,33,2998,1,346.27,114.27,114.27,6.0,29.05,-35.05,-10.12,Livré à temps,26-50%
74,F,Ship,4,5,215,3,medium,F,21,3984,1,272.15,57.15,57.15,7.97,22.83,-30.8,-11.32,Livré à temps,11-25%
75,A,Ship,6,1,238,6,low,F,13,2442,1,273.56,35.56,35.56,4.88,22.95,-27.83,-10.17,Livré à temps,11-25%
76,B,Ship,4,1,266,3,low,F,23,3775,1,345.45,79.45,79.45,7.55,28.98,-36.53,-10.57,Livré à temps,11-25%
77,C,Ship,2,3,158,2,medium,F,36,1788,1,246.88,88.88,88.88,3.58,20.71,-24.29,-9.84,Livré à temps,26-50%
78,F,Ship,3,3,113,3,low,F,43,1518,1,198.25,85.25,85.25,3.04,16.63,-19.67,-9.92,Livré à temps,26-50%
79,D,Ship,3,4,223,3,low,M,18,3959,1,271.95,48.95,48.95,7.92,22.82,-30.74,-11.3,Livré à temps,11-25%
80,F,Ship,3,5,257,2,medium,F,56,3711,1,584.09,327.09,327.09,7.42,49.01,-56.43,-9.66,Livré à temps,>50%
81,A,Ship,3,4,180,2,medium,F,49,1942,1,352.94,172.94,172.94,3.88,29.61,-33.49,-9.49,Livré à temps,26-50%
82,B,Ship,2,5,132,3,low,M,18,1759,1,160.98,28.98,28.98,3.52,13.51,-17.03,-10.58,Livré à temps,11-25%
83,C,Ship,4,4,217,3,high,F,26,2875,1,293.24,76.24,76.24,5.75,24.6,-30.35,-10.35,Livré à temps,26-50%
84,F,Ship,5,5,162,3,high,F,31,1364,1,234.78,72.78,72.78,2.73,19.7,-22.43,-9.55,Livré à temps,26-50%
85,D,Ship,4,5,197,2,medium,F,40,2710,1,328.33,131.33,131.33,5.42,27.55,-32.97,-10.04,Livré à temps,26-50%
86,F,Ship,3,4,197,3,medium,M,13,2148,1,226.44,29.44,29.44,4.3,19.0,-23.3,-10.29,Livré à temps,11-25%
87,A,Ship,4,1,185,2,low,M,44,2910,1,330.36,145.36,145.36,5.82,27.72,-33.54,-10.15,Livré à temps,26-50%
88,B,Ship,6,2,278,3,medium,F,3,2974,1,286.6,8.6,8.6,5.95,24.05,-30.0,-10.47,Livré à temps,1-10%
89,C,Ship,3,3,229,3,low,M,49,2339,1,449.02,220.02,220.02,4.68,37.67,-42.35,-9.43,Livré à temps,26-50%
90,F,Ship,4,1,186,4,medium,F,57,3880,1,432.56,246.56,246.56,7.76,36.29,-44.05,-10.18,Livré à temps,>50%
91,D,Ship,5,3,174,6,high,F,41,1085,1,294.92,120.92,120.92,2.17,24.74,-26.91,-9.12,Livré à temps,26-50%
92,F,Ship,5,5,286,3,low,F,18,3163,1,348.78,62.78,62.78,6.33,29.26,-35.59,-10.2,Livré à temps,11-25%
93,A,Ship,4,4,175,2,medium,F,7,1188,1,188.17,13.17,13.17,2.38,15.79,-18.17,-9.66,Livré à temps,1-10%
94,B,Ship,3,3,219,3,medium,F,17,3387,1,263.86,44.86,44.86,6.77,22.14,-28.91,-10.96,Livré à temps,11-25%
95,C,Ship,4,1,213,4,high,F,35,2343,1,327.69,114.69,114.69,4.69,27.49,-32.18,-9.82,Livré à temps,26-50%
96,F,Ship,2,3,235,3,low,M,57,2034,1,546.51,311.51,311.51,4.07,45.85,-49.92,-9.13,Livré à temps,>50%
97,D,Ship,3,3,149,2,medium,M,18,1225,1,181.71,32.71,32.71,2.45,15.25,-17.7,-9.74,Livré à temps,11-25%
98,F,Ship,4,1,271,2,medium,F,8,2401,1,294.57,23.57,23.57,4.8,24.71,-29.51,-10.02,Livré à temps,1-10%
99,A,Ship,3,5,144,4,medium,M,5,1104,1,151.58,7.58,7.58,2.21,12.72,-14.93,-9.85,Livré à temps,1-10%
100,B,Ship,4,2,145,2,medium,M,21,1617,1,183.54,38.54,38.54,3.23,15.4,-18.63,-10.15,Livré à temps,11-25%
101,C,Ship,5,3,143,2,medium,M,59,1837,1,348.78,205.78,205.78,3.67,29.26,-32.93,-9.44,Livré à temps,>50%
102,F,Ship,5,5,227,4,low,M,53,2624,1,482.98,255.98,255.98,5.25,40.52,-45.77,-9.48,Livré à temps,>50%
103,D,Ship,2,1,213,3,low,M,29,2732,1,300.0,87.0,87.0,5.46,25.17,-30.63,-10.21,Livré à temps,26-50%
104,F,Ship,5,1,144,4,low,M,37,1658,1,228.57,84.57,84.57,3.32,19.18,-22.5,-9.84,Livré à temps,26-50%
105,A,Ship,3,3,218,3,low,M,3,2255,1,224.74,6.74,6.74,4.51,18.86,-23.37,-10.4,Livré à temps,1-10%
106,B,Ship,4,2,144,3,medium,M,59,1588,1,351.22,207.22,207.22,3.18,29.47,-32.65,-9.3,Livré à temps,>50%
107,C,Ship,3,1,238,3,low,M,17,2624,1,286.75,48.75,48.75,5.25,24.06,-29.31,-10.22,Livré à temps,11-25%
108,F,Ship,4,5,216,3,high,M,26,2053,1,291.89,75.89,75.89,4.11,24.49,-28.6,-9.8,Livré à temps,26-50%
109,D,Ship,4,5,238,3,high,F,55,3257,1,528.89,290.89,290.89,6.51,44.37,-50.88,-9.62,Livré à temps,>50%
110,F,Ship,4,1,141,3,medium,M,47,1250,1,266.04,125.04,125.04,2.5,22.32,-24.82,-9.33,Livré à temps,26-50%
111,A,Road,3,1,158,2,low,M,2,1284,1,161.22,3.22,3.22,1.28,13.53,-14.81,-9.19,Livré à temps,1-10%
112,B,Road,4,2,239,3,low,F,65,3679,1,682.86,443.86,443.86,3.68,57.29,-60.97,-8.93,Livré à temps,>50%
113,C,Road,4,3,175,2,low,M,25,1816,1,233.33,58.33,58.33,1.82,19.58,-21.4,-9.17,Livré à temps,11-25%
114,F,Road,3,2,263,3,low,M,41,2817,1,445.76,182.76,182.76,2.82,37.4,-40.22,-9.02,Livré à temps,26-50%
115,D,Road,3,5,168,2,high,M,50,1616,1,336.0,168.0,168.0,1.62,28.19,-29.81,-8.87,Livré à temps,26-50%
116,F,Road,3,4,176,3,high,M,36,1779,1,275.0,99.0,99.0,1.78,23.07,-24.85,-9.04,Livré à temps,26-50%
117,A,Road,4,1,150,4,high,M,60,1024,1,375.0,225.0,225.0,1.02,31.46,-32.48,-8.66,Livré à temps,>50%
118,B,Road,4,3,265,2,medium,F,31,2326,1,384.06,119.06,119.06,2.33,32.22,-34.55,-9.0,Livré à temps,26-50%
119,C,Road,2,5,263,3,low,F,5,2947,1,276.84,13.84,13.84,2.95,23.23,-26.18,-9.46,Livré à temps,1-10%
120,F,Road,5,1,145,3,low,M,20,1387,1,181.25,36.25,36.25,1.39,15.21,-16.6,-9.16,Livré à temps,11-25%
121,D,Road,4,2,183,3,low,F,33,2741,1,273.13,90.13,90.13,2.74,22.92,-25.66,-9.39,Livré à temps,26-50%
122,F,Road,3,3,205,3,medium,F,19,2167,1,253.09,48.09,48.09,2.17,21.23,-23.4,-9.25,Livré à temps,11-25%
123,A,Road,4,2,160,3,low,M,64,1714,1,444.44,284.44,284.44,1.71,37.29,-39.0,-8.78,Livré à temps,>50%
124,B,Road,3,3,252,2,medium,F,48,2102,1,484.62,232.62,232.62,2.1,40.66,-42.76,-8.82,Livré à temps,26-50%
125,C,Road,5,5,222,3,low,M,10,2280,1,246.67,24.67,24.67,2.28,20.7,-22.98,-9.32,Livré à temps,1-10%
126,F,Road,3,3,203,2,low,M,25,3607,1,270.67,67.67,67.67,3.61,22.71,-26.32,-9.72,Livré à temps,11-25%
127,D,Road,4,5,220,3,medium,M,40,3516,1,366.67,146.67,146.67,3.52,30.76,-34.28,-9.35,Livré à temps,26-50%
128,F,Road,3,3,147,4,low,F,60,1722,1,367.5,220.5,220.5,1.72,30.83,-32.55,-8.86,Livré à temps,>50%
129,A,Road,4,4,200,4,medium,M,16,2060,1,238.1,38.1,38.1,2.06,19.98,-22.04,-9.26,Livré à temps,11-25%
130,B,Road,4,5,224,4,medium,M,21,2026,1,283.54,59.54,59.54,2.03,23.79,-25.82,-9.11,Livré à temps,11-25%
131,C,Road,3,5,179,2,low,F,17,1364,1,215.66,36.66,36.66,1.36,18.09,-19.45,-9.02,Livré à temps,11-25%
132,F,Road,3,4,144,3,low,M,50,1865,1,288.0,144.0,144.0,1.86,24.16,-26.02,-9.03,Livré à temps,26-50%
133,D,Flight,5,2,247,3,low,M,17,3889,1,297.59,50.59,50.59,19.45,24.97,-44.42,-14.93,Livré à temps,11-25%
134,F,Flight,5,4,280,6,medium,F,51,3582,1,571.43,291.43,291.43,17.91,47.94,-65.85,-11.52,Livré à temps,>50%
135,A,Flight,3,3,168,2,medium,F,1,1829,1,169.7,1.7,1.7,9.14,14.24,-23.38,-13.78,Livré à temps,1-10%
136,B,Flight,3,5,157,3,medium,F,4,1889,1,163.54,6.54,6.54,9.45,13.72,-23.17,-14.17,Livré à temps,1-10%
137,C,Flight,3,3,189,4,medium,F,51,2208,1,385.71,196.71,196.71,11.04,32.36,-43.4,-11.25,Livré à temps,>50%
138,F,Flight,3,5,162,2,medium,M,7,1739,1,174.19,12.19,12.19,8.7,14.61,-23.31,-13.38,Livré à temps,1-10%
139,D,Flight,4,1,207,5,low,M,48,2399,1,398.08,191.08,191.08,12.0,33.4,-45.4,-11.4,Livré à temps,26-50%
140,F,Flight,5,1,237,2,low,F,10,3860,1,263.33,26.33,26.33,19.3,22.09,-41.39,-15.72,Livré à temps,1-10%
141,A,Flight,4,4,264,3,high,M,59,2020,1,643.9,379.9,379.9,10.1,54.02,-64.12,-9.96,Livré à temps,>50%
142,B,Flight,5,4,149,3,low,M,51,1645,1,304.08,155.08,155.08,8.22,25.51,-33.73,-11.09,Livré à temps,>50%
143,C,Flight,5,5,162,3,low,M,41,1462,1,274.58,112.58,112.58,7.31,23.04,-30.35,-11.05,Livré à temps,26-50%
144,F,Flight,2,1,205,4,medium,F,63,2156,1,554.05,349.05,349.05,10.78,46.48,-57.26,-10.33,Livré à temps,>50%
145,D,Flight,2,1,158,3,medium,F,51,1540,1,322.45,164.45,164.45,7.7,27.05,-34.75,-10.78,Livré à temps,>50%
146,F,Flight,2,2,248,2,low,M,46,3707,1,459.26,211.26,211.26,18.54,38.53,-57.07,-12.43,Livré à temps,26-50%
147,A,Flight,3,5,191,3,low,M,23,3750,1,248.05,57.05,57.05,18.75,20.81,-39.56,-15.95,Livré à temps,11-25%
148,B,Flight,4,3,146,4,medium,F,24,1844,1,192.11,46.11,46.11,9.22,16.12,-25.34,-13.19,Livré à temps,11-25%
149,C,Flight,3,3,135,3,low,M,56,1490,1,306.82,171.82,171.82,7.45,25.74,-33.19,-10.82,Livré à temps,>50%
150,F,Flight,5,1,149,3,low,M,40,1062,1,248.33,99.33,99.33,5.31,20.83,-26.14,-10.53,Livré à temps,26-50%
151,D,Flight,4,4,220,2,medium,F,7,2551,1,236.56,16.56,16.56,12.76,19.85,-32.61,-13.79,Livré à temps,1-10%
152,F,Flight,5,3,98,5,medium,M,44,1269,1,175.0,77.0,77.0,6.34,14.68,-21.02,-12.01,Livré à temps,26-50%
153,A,Flight,3,4,97,4,low,M,32,1238,1,142.65,45.65,45.65,6.19,11.97,-18.16,-12.73,Livré à temps,26-50%
154,B,Flight,3,3,183,2,low,M,53,3932,1,389.36,206.36,206.36,19.66,32.67,-52.33,-13.44,Livré à temps,>50%
155,C,Ship,3,3,162,3,medium,F,8,1869,1,176.09,14.09,14.09,3.74,14.77,-18.51,-10.51,Livré à temps,1-10%
156,F,Ship,5,1,114,4,low,F,47,1443,1,215.09,101.09,101.09,2.89,18.05,-20.94,-9.74,Livré à temps,26-50%
157,D,Ship,6,3,275,5,low,M,41,2491,1,466.1,191.1,191.1,4.98,39.11,-44.09,-9.46,Livré à temps,26-50%
158,F,Ship,3,2,203,2,medium,F,39,3845,1,332.79,129.79,129.79,7.69,27.92,-35.61,-10.7,Livré à temps,26-50%
159,A,Ship,5,5,205,2,high,M,65,3671,1,585.71,380.71,380.71,7.34,49.14,-56.48,-9.64,Livré à temps,>50%
160,B,Ship,3,3,149,3,low,F,63,1946,1,402.7,253.7,253.7,3.89,33.79,-37.68,-9.36,Livré à temps,>50%
161,C,Ship,2,2,112,4,medium,M,56,1138,1,254.55,142.55,142.55,2.28,21.36,-23.64,-9.29,Livré à temps,>50%
162,F,Ship,3,1,207,3,medium,F,56,3482,1,470.45,263.45,263.45,6.96,39.47,-46.43,-9.87,Livré à temps,>50%
163,D,Ship,4,1,261,4,low,F,58,3427,1,621.43,360.43,360.43,6.85,52.14,-58.99,-9.49,Livré à temps,>50%
164,F,Ship,5,2,274,3,medium,M,6,3375,1,291.49,17.49,17.49,6.75,24.46,-31.21,-10.71,Livré à temps,1-10%
165,A,Ship,3,5,141,2,low,M,52,1692,1,293.75,152.75,152.75,3.38,24.65,-28.03,-9.54,Livré à temps,>50%
166,B,Ship,3,3,166,4,medium,F,17,1498,1,200.0,34.0,34.0,3.0,16.78,-19.78,-9.89,Livré à temps,11-25%
167,C,Ship,5,2,141,3,high,F,34,1020,1,213.64,72.64,72.64,2.04,17.92,-19.96,-9.34,Livré à temps,26-50%
168,F,Ship,4,5,152,3,low,M,43,1709,1,266.67,114.67,114.67,3.42,22.37,-25.79,-9.67,Livré à temps,26-50%
169,D,Ship,4,2,250,3,low,F,53,2478,1,531.91,281.91,281.91,4.96,44.63,-49.59,-9.32,Livré à temps,>50%
170,F,Ship,4,3,161,3,medium,F,28,1809,1,223.61,62.61,62.61,3.62,18.76,-22.38,-10.01,Livré à temps,26-50%
171,A,Ship,4,3,185,3,medium,F,10,2263,1,205.56,20.56,20.56,4.53,17.25,-21.78,-10.6,Livré à temps,1-10%
172,B,Ship,4,4,176,4,high,F,52,1096,1,366.67,190.67,190.67,2.19,30.76,-32.95,-8.99,Livré à temps,>50%
173,C,Ship,3,4,148,3,low,M,56,1550,1,336.36,188.36,188.36,3.1,28.22,-31.32,-9.31,Livré à temps,>50%
174,F,Ship,3,2,270,3,low,F,63,2751,1,729.73,459.73,459.73,5.5,61.22,-66.72,-9.14,Livré à temps,>50%
175,D,Ship,3,3,242,3,low,F,51,3935,1,493.88,251.88,251.88,7.87,41.44,-49.31,-9.98,Livré à temps,>50%
176,F,Ship,4,4,150,2,medium,M,3,1285,1,154.64,4.64,4.64,2.57,12.97,-15.54,-10.05,Livré à temps,1-10%
177,A,Ship,4,5,192,3,high,M,20,3872,1,240.0,48.0,48.0,7.74,20.14,-27.88,-11.62,Livré à temps,11-25%
178,B,Ship,4,5,116,3,medium,M,54,1314,1,252.17,136.17,136.17,2.63,21.16,-23.79,-9.43,Livré à temps,>50%
179,C,Ship,3,3,192,3,medium,F,2,3995,1,195.92,3.92,3.92,7.99,16.44,-24.43,-12.47,Livré à temps,1-10%
180,F,Ship,5,5,255,4,medium,M,3,3440,1,262.89,7.89,7.89,6.88,22.06,-28.94,-11.01,Livré à temps,1-10%
181,D,Ship,4,1,161,7,medium,F,18,1294,1,196.34,35.34,35.34,2.59,16.47,-19.06,-9.71,Livré à temps,11-25%
182,F,Ship,4,5,157,3,low,M,20,1487,1,196.25,39.25,39.25,2.97,16.47,-19.44,-9.91,Livré à temps,11-25%
183,A,Ship,3,2,164,10,high,F,28,1940,1,227.78,63.78,63.78,3.88,19.11,-22.99,-10.09,Livré à temps,26-50%
184,B,Ship,3,5,162,7,medium,F,16,1052,1,192.86,30.86,30.86,2.1,16.18,-18.28,-9.48,Livré à temps,11-25%
185,C,Ship,3,3,146,2,low,M,50,1486,1,292.0,146.0,146.0,2.97,24.5,-27.47,-9.41,Livré à temps,26-50%
186,F,Ship,3,2,209,3,medium,M,54,3001,1,454.35,245.35,245.35,6.0,38.12,-44.12,-9.71,Livré à temps,>50%
187,D,Ship,5,4,134,2,medium,F,55,1386,1,297.78,163.78,163.78,2.77,24.98,-27.75,-9.32,Livré à temps,>50%
188,F,Ship,2,1,222,2,medium,M,5,3778,1,233.68,11.68,11.68,7.56,19.61,-27.17,-11.63,Livré à temps,1-10%
189,A,Ship,2,5,139,3,low,F,27,1233,1,190.41,51.41,51.41,2.47,15.98,-18.45,-9.69,Livré à temps,26-50%
190,B,Ship,2,4,134,3,low,F,42,1415,1,231.03,97.03,97.03,2.83,19.38,-22.21,-9.61,Livré à temps,26-50%
191,C,Ship,2,5,130,3,low,M,16,1092,1,154.76,24.76,24.76,2.18,12.98,-15.16,-9.8,Livré à temps,11-25%
192,F,Ship,2,5,133,3,low,F,62,1596,1,350.0,217.0,217.0,3.19,29.36,-32.55,-9.3,Livré à temps,>50%
193,D,Ship,2,4,140,3,low,F,7,1411,1,150.54,10.54,10.54,2.82,12.63,-15.45,-10.26,Livré à temps,1-10%
194,F,Ship,2,2,158,3,low,M,28,1968,1,219.44,61.44,61.44,3.94,18.41,-22.35,-10.19,Livré à temps,26-50%
195,A,Ship,4,2,270,4,low,F,46,1736,1,500.0,230.0,230.0,3.47,41.95,-45.42,-9.08,Livré à temps,26-50%
196,B,Ship,2,5,140,3,low,F,30,1030,1,200.0,60.0,60.0,2.06,16.78,-18.84,-9.42,Livré à temps,26-50%
197,C,Ship,2,2,135,3,low,M,15,1339,1,158.82,23.82,23.82,2.68,13.32,-16.0,-10.07,Livré à temps,11-25%
198,F,Ship,2,3,136,3,low,F,19,1568,1,167.9,31.9,31.9,3.14,14.09,-17.23,-10.26,Livré à temps,11-25%
199,D,Ship,2,3,142,3,medium,F,38,7640,1,229.03,87.03,87.03,15.28,19.22,-34.5,-15.06,Livré à temps,26-50%
