order_id,shipment_mode,discount_pct,discount_bucket,product_cost,weight_gms,customer_rating,care_calls,product_importance,on_time,delivery_status,estimated_revenue,gross_margin,discount_impact,shipping_cost,return_loss,net_margin,net_margin_rate,return_risk_score,return_risk_level
31,Ship,38,26-50% - Promotion forte,266,2741,4,3,Medium,1,Livré à temps,429.0323,163.0323,163.0323,5.482,35.9928,-41.4748,-0.0967,1,Faible
32,Ship,61,>50% - Liquidation,257,3341,3,5,Low,1,Livré à temps,658.9744,401.9744,401.9744,6.682,55.2833,-61.9653,-0.094,3,Moyen
33,Ship,22,11-25% - Remise significative,223,3795,1,3,Low,1,Livré à temps,285.8974,62.8974,62.8974,7.59,23.9848,-31.5748,-0.1104,1,Faible
34,Ship,4,1-10% - Remise légère,234,3261,2,4,Medium,1,Livré à temps,243.75,9.75,9.75,6.522,20.4489,-26.9709,-0.1106,1,Faible
35,Ship,22,11-25% - Remise significative,227,2460,2,4,Medium,1,Livré à temps,291.0256,64.0256,64.0256,4.92,24.415,-29.335,-0.1008,1,Faible
36,Ship,44,26-50% - Promotion forte,149,1811,4,5,Medium,1,Livré à temps,266.0714,117.0714,117.0714,3.622,22.3215,-25.9435,-0.0975,2,Moyen
37,Ship,62,>50% - Liquidation,137,1477,5,3,High,1,Livré à temps,360.5263,223.5263,223.5263,2.954,30.2456,-33.1996,-0.0921,2,Moyen
38,Ship,16,11-25% - Remise significative,181,3605,4,2,Medium,1,Livré à temps,215.4762,34.4762,34.4762,7.21,18.0769,-25.2869,-0.1174,0,Faible
39,Ship,56,>50% - Liquidation,215,3905,1,5,Low,1,Livré à temps,488.6364,273.6364,273.6364,7.81,40.9931,-48.8031,-0.0999,4,Élevé
40,Ship,45,26-50% - Promotion forte,269,2383,2,4,Low,1,Livré à temps,489.0909,220.0909,220.0909,4.766,41.0313,-45.7973,-0.0936,2,Moyen
41,Ship,15,11-25% - Remise significative,227,3798,1,5,Low,1,Livré à temps,267.0588,40.0588,40.0588,7.596,22.4043,-30.0003,-0.1123,2,Moyen
42,Ship,61,>50% - Liquidation,139,1265,5,5,Medium,1,Livré à temps,356.4103,217.4103,217.4103,2.53,29.9003,-32.4303,-0.091,3,Moyen
43,Ship,38,26-50% - Promotion forte,137,1647,5,3,Medium,1,Livré à temps,220.9677,83.9677,83.9677,3.294,18.5376,-21.8316,-0.0988,1,Faible
44,Ship,44,26-50% - Promotion forte,174,1556,1,3,Low,1,Livré à temps,310.7143,136.7143,136.7143,3.112,26.0667,-29.1787,-0.0939,2,Moyen
45,Ship,29,26-50% - Promotion forte,151,1328,1,3,Low,1,Livré à temps,212.6761,61.6761,61.6761,2.656,17.842,-20.498,-0.0964,2,Moyen
46,Ship,9,1-10% - Remise légère,210,2944,1,5,Low,1,Livré à temps,230.7692,20.7692,20.7692,5.888,19.3599,-25.2479,-0.1094,2,Moyen
47,Ship,32,26-50% - Promotion forte,169,1245,4,3,Medium,1,Livré à temps,248.5294,79.5294,79.5294,2.49,20.8499,-23.3399,-0.0939,1,Faible
48,Ship,32,26-50% - Promotion forte,160,1576,1,5,Low,1,Livré à temps,235.2941,75.2941,75.2941,3.152,19.7395,-22.8915,-0.0973,3,Moyen
49,Ship,9,1-10% - Remise légère,190,3753,4,5,Medium,1,Livré à temps,208.7912,18.7912,18.7912,7.506,17.5161,-25.0221,-0.1198,1,Faible
50,Ship,40,26-50% - Promotion forte,216,2146,3,5,Low,1,Livré à temps,360.0,144.0,144.0,4.292,30.2014,-34.4934,-0.0958,2,Moyen
51,Ship,37,26-50% - Promotion forte,183,2042,1,4,Low,1,Livré à temps,290.4762,107.4762,107.4762,4.084,24.3689,-28.4529,-0.098,2,Moyen
52,Ship,22,11-25% - Remise significative,141,1735,4,4,Low,1,Livré à temps,180.7692,39.7692,39.7692,3.47,15.1653,-18.6353,-0.1031,0,Faible
53,Ship,44,26-50% - Promotion forte,165,1320,3,4,Low,1,Livré à temps,294.6429,129.6429,129.6429,2.64,24.7184,-27.3584,-0.0929,1,Faible
54,Ship,41,26-50% - Promotion forte,170,1128,1,2,Low,1,Livré à temps,288.1356,118.1356,118.1356,2.256,24.1725,-26.4285,-0.0917,2,Moyen
55,Ship,12,11-25% - Remise significative,203,3539,3,4,High,1,Livré à temps,230.6818,27.6818,27.6818,7.078,19.3526,-26.4306,-0.1146,0,Faible
56,Ship,46,26-50% - Promotion forte,246,2437,5,2,Low,1,Livré à temps,455.5556,209.5556,209.5556,4.874,38.2179,-43.0919,-0.0946,1,Faible
57,Ship,61,>50% - Liquidation,238,3096,3,3,Low,1,Livré à temps,610.2564,372.2564,372.2564,6.192,51.1962,-57.3882,-0.094,2,Moyen
58,Ship,29,26-50% - Promotion forte,193,3453,3,3,Medium,1,Livré à temps,271.831,78.831,78.831,6.906,22.8047,-29.7107,-0.1093,1,Faible
59,Ship,41,26-50% - Promotion forte,141,1367,5,5,High,1,Livré à temps,238.9831,97.9831,97.9831,2.734,20.049,-22.783,-0.0953,2,Moyen
60,Ship,17,11-25% - Remise significative,150,1923,1,4,High,1,Livré à temps,180.7229,30.7229,30.7229,3.846,15.1614,-19.0074,-0.1052,1,Faible
61,Ship,64,>50% - Liquidation,221,2794,1,3,Low,1,Livré à temps,613.8889,392.8889,392.8889,5.588,51.5009,-57.0889,-0.093,3,Moyen
62,Ship,52,>50% - Liquidation,179,1158,3,3,Medium,1,Livré à temps,372.9167,193.9167,193.9167,2.316,31.2851,-33.6011,-0.0901,2,Moyen
63,Ship,62,>50% - Liquidation,105,1292,1,5,Medium,1,Livré à temps,276.3158,171.3158,171.3158,2.584,23.1809,-25.7649,-0.0932,4,Élevé
64,Ship,61,>50% - Liquidation,177,1880,1,3,Medium,1,Livré à temps,453.8462,276.8462,276.8462,3.76,38.0745,-41.8345,-0.0922,3,Moyen
65,Ship,49,26-50% - Promotion forte,261,3045,5,4,High,1,Livré à temps,511.7647,250.7647,250.7647,6.09,42.9334,-49.0234,-0.0958,1,Faible
66,Ship,49,26-50% - Promotion forte,202,2881,2,3,Low,1,Livré à temps,396.0784,194.0784,194.0784,5.762,33.2282,-38.9902,-0.0984,2,Moyen
67,Ship,15,11-25% - Remise significative,109,1710,2,3,Medium,1,Livré à temps,128.2353,19.2353,19.2353,3.42,10.758,-14.178,-0.1106,1,Faible
68,Ship,6,1-10% - Remise légère,158,1878,3,3,Low,1,Livré à temps,168.0851,10.0851,10.0851,3.756,14.1011,-17.8571,-0.1062,0,Faible
69,Ship,6,1-10% - Remise légère,231,2512,2,4,Medium,1,Livré à temps,245.7447,14.7447,14.7447,5.024,20.6162,-25.6402,-0.1043,1,Faible
70,Ship,39,26-50% - Promotion forte,206,2929,5,3,Medium,1,Livré à temps,337.7049,131.7049,131.7049,5.858,28.331,-34.189,-0.1012,1,Faible
71,Ship,14,11-25% - Remise significative,187,3849,1,5,High,1,Livré à temps,217.4419,30.4419,30.4419,7.698,18.2418,-25.9398,-0.1193,2,Moyen
72,Ship,2,1-10% - Remise légère,230,2229,5,5,Low,1,Livré à temps,234.6939,4.6939,4.6939,4.458,19.6891,-24.1471,-0.1029,1,Faible
73,Ship,33,26-50% - Promotion forte,232,2998,5,5,Medium,1,Livré à temps,346.2687,114.2687,114.2687,5.996,29.0495,-35.0455,-0.1012,2,Moyen
74,Ship,21,11-25% - Remise significative,215,3984,5,4,Medium,1,Livré à temps,272.1519,57.1519,57.1519,7.968,22.8316,-30.7996,-0.1132,0,Faible
75,Ship,13,11-25% - Remise significative,238,2442,1,6,Low,1,Livré à temps,273.5632,35.5632,35.5632,4.884,22.95,-27.834,-0.1017,2,Moyen
76,Ship,23,11-25% - Remise significative,266,3775,1,4,Low,1,Livré à temps,345.4545,79.4545,79.4545,7.55,28.9812,-36.5312,-0.1057,1,Faible
77,Ship,36,26-50% - Promotion forte,158,1788,3,2,Medium,1,Livré à temps,246.875,88.875,88.875,3.576,20.7111,-24.2871,-0.0984,1,Faible
78,Ship,43,26-50% - Promotion forte,113,1518,3,3,Low,1,Livré à temps,198.2456,85.2456,85.2456,3.036,16.6314,-19.6674,-0.0992,1,Faible
79,Ship,18,11-25% - Remise significative,223,3959,4,3,Low,1,Livré à temps,271.9512,48.9512,48.9512,7.918,22.8148,-30.7328,-0.113,0,Faible
80,Ship,56,>50% - Liquidation,257,3711,5,3,Medium,1,Livré à temps,584.0909,327.0909,327.0909,7.422,49.0011,-56.4231,-0.0966,2,Moyen
81,Ship,49,26-50% - Promotion forte,180,1942,4,3,Medium,1,Livré à temps,352.9412,172.9412,172.9412,3.884,29.6093,-33.4933,-0.0949,1,Faible
82,Ship,18,11-25% - Remise significative,132,1759,5,2,Low,1,Livré à temps,160.9756,28.9756,28.9756,3.518,13.5047,-17.0227,-0.1057,0,Faible
83,Ship,26,26-50% - Promotion forte,217,2875,4,4,High,1,Livré à temps,293.2432,76.2432,76.2432,5.75,24.601,-30.351,-0.1035,1,Faible
84,Ship,31,26-50% - Promotion forte,162,1364,5,5,High,1,Livré à temps,234.7826,72.7826,72.7826,2.728,19.6966,-22.4246,-0.0955,2,Moyen
85,Ship,40,26-50% - Promotion forte,197,2710,5,4,Medium,1,Livré à temps,328.3333,131.3333,131.3333,5.42,27.5448,-32.9648,-0.1004,1,Faible
86,Ship,13,11-25% - Remise significative,197,2148,4,3,Medium,1,Livré à temps,226.4368,29.4368,29.4368,4.296,18.9964,-23.2924,-0.1029,0,Faible
87,Ship,44,26-50% - Promotion forte,185,2910,1,4,Low,1,Livré à temps,330.3571,145.3571,145.3571,5.82,27.7146,-33.5346,-0.1015,2,Moyen
88,Ship,3,1-10% - Remise légère,278,2974,2,6,Medium,1,Livré à temps,286.5979,8.5979,8.5979,5.948,24.0435,-29.9915,-0.1046,2,Moyen
89,Ship,49,26-50% - Promotion forte,229,2339,3,3,Low,1,Livré à temps,449.0196,220.0196,220.0196,4.678,37.6696,-42.3476,-0.0943,1,Faible
90,Ship,57,>50% - Liquidation,186,3880,1,4,Medium,1,Livré à temps,432.5581,246.5581,246.5581,7.76,36.2886,-44.0486,-0.1018,3,Moyen
91,Ship,41,26-50% - Promotion forte,174,1085,3,5,High,1,Livré à temps,294.9153,120.9153,120.9153,2.17,24.7413,-26.9113,-0.0913,2,Moyen
92,Ship,18,11-25% - Remise significative,286,3163,5,5,Low,1,Livré à temps,348.7805,62.7805,62.7805,6.326,29.2602,-35.5862,-0.102,1,Faible
93,Ship,7,1-10% - Remise légère,175,1188,4,4,Medium,1,Livré à temps,188.172,13.172,13.172,2.376,15.7863,-18.1623,-0.0965,0,Faible
94,Ship,17,11-25% - Remise significative,219,3387,3,3,Medium,1,Livré à temps,263.8554,44.8554,44.8554,6.774,22.1356,-28.9096,-0.1096,0,Faible
95,Ship,35,26-50% - Promotion forte,213,2343,1,4,High,1,Livré à temps,327.6923,114.6923,114.6923,4.686,27.4911,-32.1771,-0.0982,2,Moyen
96,Ship,57,>50% - Liquidation,235,2034,3,2,Low,1,Livré à temps,546.5116,311.5116,311.5116,4.068,45.8484,-49.9164,-0.0913,2,Moyen
97,Ship,18,11-25% - Remise significative,149,1225,3,3,Medium,1,Livré à temps,181.7073,32.7073,32.7073,2.45,15.244,-17.694,-0.0974,0,Faible
98,Ship,8,1-10% - Remise légère,271,2401,1,4,Medium,1,Livré à temps,294.5652,23.5652,23.5652,4.802,24.7119,-29.5139,-0.1002,1,Faible
99,Ship,5,1-10% - Remise légère,144,1104,5,3,Medium,1,Livré à temps,151.5789,7.5789,7.5789,2.208,12.7164,-14.9244,-0.0985,0,Faible
100,Ship,21,11-25% - Remise significative,145,1617,2,4,Medium,1,Livré à temps,183.5443,38.5443,38.5443,3.234,15.3981,-18.6321,-0.1015,1,Faible
101,Ship,59,>50% - Liquidation,143,1837,3,5,Medium,1,Livré à temps,348.7805,205.7805,205.7805,3.674,29.2602,-32.9342,-0.0944,3,Moyen
102,Ship,53,>50% - Liquidation,227,2624,5,5,Low,1,Livré à temps,482.9787,255.9787,255.9787,5.248,40.5185,-45.7665,-0.0948,3,Moyen
103,Ship,29,26-50% - Promotion forte,213,2732,1,2,Low,1,Livré à temps,300.0,87.0,87.0,5.464,25.1679,-30.6319,-0.1021,2,Moyen
104,Ship,37,26-50% - Promotion forte,144,1658,1,5,Low,1,Livré à temps,228.5714,84.5714,84.5714,3.316,19.1755,-22.4915,-0.0984,3,Moyen
105,Ship,3,1-10% - Remise légère,218,2255,3,3,Low,1,Livré à temps,224.7423,6.7423,6.7423,4.51,18.8543,-23.3643,-0.104,0,Faible
106,Ship,59,>50% - Liquidation,144,1588,2,4,Medium,1,Livré à temps,351.2195,207.2195,207.2195,3.176,29.4648,-32.6408,-0.0929,3,Moyen
107,Ship,17,11-25% - Remise significative,238,2624,1,3,Low,1,Livré à temps,286.747,48.747,48.747,5.248,24.056,-29.304,-0.1022,1,Faible
108,Ship,26,26-50% - Promotion forte,216,2053,5,4,High,1,Livré à temps,291.8919,75.8919,75.8919,4.106,24.4877,-28.5937,-0.098,1,Faible
109,Ship,55,>50% - Liquidation,238,3257,5,4,High,1,Livré à temps,528.8889,290.8889,290.8889,6.514,44.37,-50.884,-0.0962,2,Moyen
110,Ship,47,26-50% - Promotion forte,141,1250,1,4,Medium,1,Livré à temps,266.0377,125.0377,125.0377,2.5,22.3187,-24.8187,-0.0933,2,Moyen
111,Road,2,1-10% - Remise légère,158,1284,1,3,Low,1,Livré à temps,161.2245,3.2245,3.2245,1.284,13.5256,-14.8096,-0.0919,1,Faible
112,Road,65,>50% - Liquidation,239,3679,2,4,Low,1,Livré à temps,682.8571,443.8571,443.8571,3.679,57.2869,-60.9659,-0.0893,3,Moyen
113,Road,25,11-25% - Remise significative,175,1816,3,4,Low,1,Livré à temps,233.3333,58.3333,58.3333,1.816,19.575,-21.391,-0.0917,0,Faible
114,Road,41,26-50% - Promotion forte,263,2817,2,3,Low,1,Livré à temps,445.7627,182.7627,182.7627,2.817,37.3963,-40.2133,-0.0902,2,Moyen
115,Road,50,26-50% - Promotion forte,168,1616,5,3,High,1,Livré à temps,336.0,168.0,168.0,1.616,28.188,-29.804,-0.0887,1,Faible
116,Road,36,26-50% - Promotion forte,176,1779,4,3,High,1,Livré à temps,275.0,99.0,99.0,1.779,23.0705,-24.8495,-0.0904,1,Faible
117,Road,60,>50% - Liquidation,150,1024,1,4,High,1,Livré à temps,375.0,225.0,225.0,1.024,31.4598,-32.4838,-0.0866,3,Moyen
118,Road,31,26-50% - Promotion forte,265,2326,3,4,Medium,1,Livré à temps,384.058,119.058,119.058,2.326,32.2197,-34.5457,-0.0899,1,Faible
119,Road,5,1-10% - Remise légère,263,2947,5,2,Low,1,Livré à temps,276.8421,13.8421,13.8421,2.947,23.2251,-26.1721,-0.0945,0,Faible
120,Road,20,11-25% - Remise significative,145,1387,1,5,Low,1,Livré à temps,181.25,36.25,36.25,1.387,15.2056,-16.5926,-0.0915,2,Moyen
121,Road,33,26-50% - Promotion forte,183,2741,2,4,Low,1,Livré à temps,273.1343,90.1343,90.1343,2.741,22.914,-25.655,-0.0939,2,Moyen
122,Road,19,11-25% - Remise significative,205,2167,3,3,Medium,1,Livré à temps,253.0864,48.0864,48.0864,2.167,21.2322,-23.3992,-0.0925,0,Faible
123,Road,64,>50% - Liquidation,160,1714,2,4,Low,1,Livré à temps,444.4444,284.4444,284.4444,1.714,37.2857,-38.9997,-0.0877,3,Moyen
124,Road,48,26-50% - Promotion forte,252,2102,3,3,Medium,1,Livré à temps,484.6154,232.6154,232.6154,2.102,40.6558,-42.7578,-0.0882,1,Faible
125,Road,10,1-10% - Remise légère,222,2280,5,5,Low,1,Livré à temps,246.6667,24.6667,24.6667,2.28,20.6936,-22.9736,-0.0931,1,Faible
126,Road,25,11-25% - Remise significative,203,3607,3,3,Low,1,Livré à temps,270.6667,67.6667,67.6667,3.607,22.707,-26.314,-0.0972,0,Faible
127,Road,40,26-50% - Promotion forte,220,3516,5,4,Medium,1,Livré à temps,366.6667,146.6667,146.6667,3.516,30.7607,-34.2767,-0.0935,1,Faible
128,Road,60,>50% - Liquidation,147,1722,3,3,Low,1,Livré à temps,367.5,220.5,220.5,1.722,30.8306,-32.5526,-0.0886,2,Moyen
129,Road,16,11-25% - Remise significative,200,2060,4,4,Medium,1,Livré à temps,238.0952,38.0952,38.0952,2.06,19.9745,-22.0345,-0.0925,0,Faible
130,Road,21,11-25% - Remise significative,224,2026,5,4,Medium,1,Livré à temps,283.5443,59.5443,59.5443,2.026,23.7874,-25.8134,-0.091,0,Faible
131,Road,17,11-25% - Remise significative,179,1364,5,3,Low,1,Livré à temps,215.6627,36.6627,36.6627,1.364,18.0926,-19.4566,-0.0902,0,Faible
132,Road,50,26-50% - Promotion forte,144,1865,4,3,Low,1,Livré à temps,288.0,144.0,144.0,1.865,24.1612,-26.0262,-0.0904,1,Faible
133,Flight,17,11-25% - Remise significative,247,3889,2,5,Low,1,Livré à temps,297.5904,50.5904,50.5904,19.445,24.9657,-44.4107,-0.1492,2,Moyen
134,Flight,51,>50% - Liquidation,280,3582,4,5,Medium,1,Livré à temps,571.4286,291.4286,291.4286,17.91,47.9388,-65.8488,-0.1152,3,Moyen
135,Flight,1,1-10% - Remise légère,168,1829,3,3,Medium,1,Livré à temps,169.697,1.697,1.697,9.145,14.2364,-23.3814,-0.1378,0,Faible
136,Flight,4,1-10% - Remise légère,157,1889,5,3,Medium,1,Livré à temps,163.5417,6.5417,6.5417,9.445,13.72,-23.165,-0.1416,0,Faible
137,Flight,51,>50% - Liquidation,189,2208,3,3,Medium,1,Livré à temps,385.7143,196.7143,196.7143,11.04,32.3587,-43.3987,-0.1125,2,Moyen
138,Flight,7,1-10% - Remise légère,162,1739,5,3,Medium,1,Livré à temps,174.1935,12.1935,12.1935,8.695,14.6136,-23.3086,-0.1338,0,Faible
139,Flight,48,26-50% - Promotion forte,207,2399,1,4,Low,1,Livré à temps,398.0769,191.0769,191.0769,11.995,33.3958,-45.3908,-0.114,2,Moyen
140,Flight,10,1-10% - Remise légère,237,3860,1,5,Low,1,Livré à temps,263.3333,26.3333,26.3333,19.3,22.0918,-41.3918,-0.1572,2,Moyen
141,Flight,59,>50% - Liquidation,264,2020,4,4,High,1,Livré à temps,643.9024,379.9024,379.9024,10.1,54.0188,-64.1188,-0.0996,2,Moyen
142,Flight,51,>50% - Liquidation,149,1645,4,5,Low,1,Livré à temps,304.0816,155.0816,155.0816,8.225,25.5103,-33.7353,-0.1109,3,Moyen
143,Flight,41,26-50% - Promotion forte,162,1462,5,5,Low,1,Livré à temps,274.5763,112.5763,112.5763,7.31,23.035,-30.345,-0.1105,2,Moyen
144,Flight,63,>50% - Liquidation,205,2156,1,2,Medium,1,Livré à temps,554.0541,349.0541,349.0541,10.78,46.4812,-57.2612,-0.1033,3,Moyen
145,Flight,51,>50% - Liquidation,158,1540,1,2,Medium,1,Livré à temps,322.449,164.449,164.449,7.7,27.0512,-34.7512,-0.1078,3,Moyen
146,Flight,46,26-50% - Promotion forte,248,3707,2,2,Low,1,Livré à temps,459.2593,211.2593,211.2593,18.535,38.5286,-57.0636,-0.1243,2,Moyen
147,Flight,23,11-25% - Remise significative,191,3750,5,3,Low,1,Livré à temps,248.0519,57.0519,57.0519,18.75,20.8098,-39.5598,-0.1595,0,Faible
148,Flight,24,11-25% - Remise significative,146,1844,3,4,Medium,1,Livré à temps,192.1053,46.1053,46.1053,9.22,16.1163,-25.3363,-0.1319,0,Faible
149,Flight,56,>50% - Liquidation,135,1490,3,3,Low,1,Livré à temps,306.8182,171.8182,171.8182,7.45,25.7399,-33.1899,-0.1082,2,Moyen
150,Flight,40,26-50% - Promotion forte,149,1062,1,5,Low,1,Livré à temps,248.3333,99.3333,99.3333,5.31,20.8334,-26.1434,-0.1053,3,Moyen
151,Flight,7,1-10% - Remise légère,220,2551,4,4,Medium,1,Livré à temps,236.5591,16.5591,16.5591,12.755,19.8456,-32.6006,-0.1378,0,Faible
152,Flight,44,26-50% - Promotion forte,98,1269,3,5,Medium,1,Livré à temps,175.0,77.0,77.0,6.345,14.6813,-21.0263,-0.1202,2,Moyen
153,Flight,32,26-50% - Promotion forte,97,1238,4,3,Low,1,Livré à temps,142.6471,45.6471,45.6471,6.19,11.9671,-18.1571,-0.1273,1,Faible
154,Flight,53,>50% - Liquidation,183,3932,3,3,Low,1,Livré à temps,389.3617,206.3617,206.3617,19.66,32.6647,-52.3247,-0.1344,2,Moyen
155,Ship,8,1-10% - Remise légère,162,1869,3,3,Medium,1,Livré à temps,176.087,14.087,14.087,3.738,14.7724,-18.5104,-0.1051,0,Faible
156,Ship,47,26-50% - Promotion forte,114,1443,1,5,Low,1,Livré à temps,215.0943,101.0943,101.0943,2.886,18.0449,-20.9309,-0.0973,3,Moyen
157,Ship,41,26-50% - Promotion forte,275,2491,3,6,Low,1,Livré à temps,466.1017,191.1017,191.1017,4.982,39.1026,-44.0846,-0.0946,2,Moyen
158,Ship,39,26-50% - Promotion forte,203,3845,2,3,Medium,1,Livré à temps,332.7869,129.7869,129.7869,7.69,27.9185,-35.6085,-0.107,2,Moyen
159,Ship,65,>50% - Liquidation,205,3671,5,5,High,1,Livré à temps,585.7143,380.7143,380.7143,7.342,49.1373,-56.4793,-0.0964,3,Moyen
160,Ship,63,>50% - Liquidation,149,1946,3,3,Low,1,Livré à temps,402.7027,253.7027,253.7027,3.892,33.7839,-37.6759,-0.0936,2,Moyen
161,Ship,56,>50% - Liquidation,112,1138,2,2,Medium,1,Livré à temps,254.5455,142.5455,142.5455,2.276,21.3546,-23.6306,-0.0928,3,Moyen
162,Ship,56,>50% - Liquidation,207,3482,1,3,Medium,1,Livré à temps,470.4545,263.4545,263.4545,6.964,39.4678,-46.4318,-0.0987,3,Moyen
163,Ship,58,>50% - Liquidation,261,3427,1,4,Low,1,Livré à temps,621.4286,360.4286,360.4286,6.854,52.1334,-58.9874,-0.0949,3,Moyen
164,Ship,6,1-10% - Remise légère,274,3375,2,5,Medium,1,Livré à temps,291.4894,17.4894,17.4894,6.75,24.4539,-31.2039,-0.107,2,Moyen
165,Ship,52,>50% - Liquidation,141,1692,5,3,Low,1,Livré à temps,293.75,152.75,152.75,3.384,24.6435,-28.0275,-0.0954,2,Moyen
166,Ship,17,11-25% - Remise significative,166,1498,3,3,Medium,1,Livré à temps,200.0,34.0,34.0,2.996,16.7786,-19.7746,-0.0989,0,Faible
167,Ship,34,26-50% - Promotion forte,141,1020,2,5,High,1,Livré à temps,213.6364,72.6364,72.6364,2.04,17.9226,-19.9626,-0.0934,3,Moyen
