StockCode,description,abc_class,bcg_quadrant,quantity_sold,total_revenue,avg_unit_price,suggested_price,elasticity,elasticity_profile,return_rate_qty,peak_month,pricing_action,estimated_gain_5pct
22457,NATURAL SLATE HEART CHALKBOARD ,A,Étoile,7653.5,24200.985,3.59003187250996,3.59003187250996,,Non calculable,0.0067942771281113215,2011-11,Mettre en avant et sécuriser le stock,0.0
22114,HOT WATER BOTTLE TEA AND SYMPATHY,A,Étoile,4488.5,23770.805,4.968266253869969,4.968266253869969,,Non calculable,0.00757491366826334,2011-11,Mettre en avant et sécuriser le stock,0.0
22386,JUMBO BAG PINK POLKADOT,A,Étoile,10733.0,23508.49,2.598733766233766,2.598733766233766,-5.148554348682125,Élastique,0.042485791484207586,2011-09,Mettre en avant et sécuriser le stock,0.0
22726,ALARM CLOCK BAKELIKE GREEN,A,Étoile,5336.5,23302.335,4.536592517694641,4.536592517694641,,Non calculable,0.0059964396139792,2011-11,Mettre en avant et sécuriser le stock,0.0
22699,ROSES REGENCY TEACUP AND SAUCER ,A,Étoile,7511.5,23058.045000000002,3.661425908667288,3.661425908667288,,Non calculable,0.05791120282233908,2011-09,Mettre en avant et sécuriser le stock,0.0
22727,ALARM CLOCK BAKELIKE RED ,A,Étoile,5520.5,23032.055,4.3953345900094245,4.3953345900094245,,Non calculable,0.01286115388098904,2011-11,Mettre en avant et sécuriser le stock,0.0
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,A,Étoile,7343.0,22976.370000000003,3.3676774969915764,3.3676774969915764,,Non calculable,0.04780062644695628,2011-11,Mettre en avant et sécuriser le stock,0.0
23245,SET OF 3 REGENCY CAKE TINS,A,Vache à lait,4600.0,22904.34,5.48541095890411,5.48541095890411,,Non calculable,0.01956521739130435,2011-07,Surveiller sans action urgente,0.0
21931,JUMBO STORAGE BAG SUKI,A,Étoile,9327.0,22748.155,2.746616415410385,2.746616415410385,-1.1009334540424902,Élastique,0.03581001393802938,2011-09,Mettre en avant et sécuriser le stock,0.0
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,A,Étoile,9074.0,22104.13,2.689254237288136,2.689254237288136,-3.777707452522245,Élastique,0.03769010359268239,2011-09,Mettre en avant et sécuriser le stock,0.0
20685,DOORMAT RED RETROSPOT,A,Vache à lait,3013.0,21708.385,7.840573888091822,7.840573888091822,,Non calculable,0.02190507799535347,2010-12,Surveiller sans action urgente,0.0
82484,WOOD BLACK BOARD ANT WHITE FINISH,A,Étoile,3199.0,21667.435,7.5547591240875915,7.5547591240875915,,Non calculable,0.007502344482650828,2010-12,Mettre en avant et sécuriser le stock,0.0
22139,RETROSPOT TEA SET CERAMIC 11 PC ,A,Étoile,4285.5,21299.325,5.404564315352697,5.404564315352697,,Non calculable,0.009800490024501224,2011-11,Mettre en avant et sécuriser le stock,0.0
22697,GREEN REGENCY TEACUP AND SAUCER,A,Étoile,6423.0,20575.25,3.835362035225049,3.835362035225049,,Non calculable,0.022263739685505216,2011-09,Mettre en avant et sécuriser le stock,0.0
22178,VICTORIAN GLASS HANGING T-LIGHT,A,Étoile,13623.5,20405.145,1.6440249759846302,1.6440249759846302,0.6218402368026645,Atypique / complémentaire,0.03295775681726429,2011-03,Mettre en avant et sécuriser le stock,0.0
22138,BAKING SET 9 PIECE RETROSPOT ,A,Étoile,4086.0,19927.925,5.178518123667377,5.178518123667377,,Non calculable,0.016642192853646598,2011-11,Mettre en avant et sécuriser le stock,0.0
22666,RECIPE BOX PANTRY YELLOW DESIGN,A,Étoile,5836.5,19469.75,3.7048793565683646,3.7048793565683646,,Non calculable,0.02587166966503898,2011-11,Mettre en avant et sécuriser le stock,0.0
48138,DOORMAT UNION FLAG,A,Vache à lait,2629.0,19194.135,7.872200647249191,7.872200647249191,,Non calculable,0.004564473183720046,2011-03,Surveiller sans action urgente,0.0
22469,HEART OF WICKER SMALL,A,Vache à lait,10885.5,19072.260000000002,1.959712879409352,1.959712879409352,-5.056339866028207,Élastique,0.012401818933443571,2010-12,Surveiller sans action urgente,0.0
23199,JUMBO BAG APPLES,A,Étoile,8528.5,19047.945,2.5699290060851925,2.5699290060851925,3.5836444528731937,Atypique / complémentaire,0.08477457935158586,2011-08,Mettre en avant et sécuriser le stock,0.0
22111,SCOTTIE DOG HOT WATER BOTTLE,A,Étoile,3773.0,19034.875,5.369154929577466,5.369154929577466,,Non calculable,0.034190299496421946,2011-11,Mettre en avant et sécuriser le stock,0.0
82482,WOODEN PICTURE FRAME WHITE FINISH,A,Étoile,7010.5,18948.3,3.1030650994575044,3.1030650994575044,,Non calculable,0.033235860494971826,2011-11,Mettre en avant et sécuriser le stock,0.0
20727,LUNCH BAG  BLACK SKULL.,A,Étoile,9893.5,18945.605,2.1077863182167564,2.1077863182167564,-3.966043661532688,Élastique,0.01192702279274271,2011-09,Mettre en avant et sécuriser le stock,0.0
22383,LUNCH BAG SUKI DESIGN ,A,Étoile,10010.5,18783.14,2.168208269525268,2.2766186830015314,-0.7191199727796381,Inélastique,0.013785525198541532,2011-08,Tester une hausse de prix de 3 à 5 %,939.157
22197,POPCORN HOLDER,A,Étoile,19262.5,18644.989999999998,1.0435543018335685,1.0435543018335685,3.6687703249731594,Atypique / complémentaire,0.02445165476963011,2011-11,Mettre en avant et sécuriser le stock,0.0
22961,JAM MAKING SET PRINTED,A,Étoile,11506.0,18555.735,1.9049140893470793,1.9049140893470793,0.8849100814142442,Atypique / complémentaire,0.02876759951329741,2010-12,Mettre en avant et sécuriser le stock,0.0
22090,PAPER BUNTING RETROSPOT,A,Vache à lait,5851.0,18420.81,3.7798004987531173,3.7798004987531173,,Non calculable,0.012305588788241326,2011-05,Surveiller sans action urgente,0.0
20728,LUNCH BAG CARS BLUE,A,Étoile,9455.5,18253.725,2.063580034423408,2.063580034423408,-5.949778436890409,Élastique,0.02263233038972027,2011-08,Mettre en avant et sécuriser le stock,0.0
84946,ANTIQUE SILVER T-LIGHT GLASS,A,Étoile,12741.5,18002.33,1.5308881578947369,1.5308881578947369,-1.7871745533328425,Élastique,0.026292037829140996,2011-11,Mettre en avant et sécuriser le stock,0.0
82494L,WOODEN FRAME ANTIQUE WHITE ,A,Étoile,6100.0,17980.24,3.2622028353326065,3.2622028353326065,,Non calculable,0.05,2011-11,Mettre en avant et sécuriser le stock,0.0
21621,VINTAGE UNION JACK BUNTING,A,Vache à lait,2104.5,17627.395,8.43643298969072,8.43643298969072,,Non calculable,0.013304822998336897,2011-02,Surveiller sans action urgente,0.0
82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,A,Étoile,2136.0,17467.899999999998,8.306650246305418,8.306650246305418,,Non calculable,0.03277153558052434,2011-11,Mettre en avant et sécuriser le stock,0.0
23209,LUNCH BAG VINTAGE DOILY ,A,Étoile,10433.5,17372.595,1.8247576301615798,1.8247576301615798,,Non calculable,0.003833804571811952,2011-05,Mettre en avant et sécuriser le stock,0.0
23201,JUMBO BAG ALPHABET,A,Étoile,8134.5,17369.185,2.3900109769484086,2.3900109769484086,2.9994177129609714,Atypique / complémentaire,0.07302231237322515,2011-09,Mettre en avant et sécuriser le stock,0.0
85099C,JUMBO  BAG BAROQUE BLACK WHITE,A,Étoile,7748.0,17260.85,2.605185577942736,2.605185577942736,,Non calculable,0.03626742385131647,2011-09,Mettre en avant et sécuriser le stock,0.0
22722,SET OF 6 SPICE TINS PANTRY DESIGN,A,Vache à lait,4020.5,16743.025,4.674486422668241,4.674486422668241,,Non calculable,0.00746175848775028,2011-03,Surveiller sans action urgente,0.0
21181,PLEASE ONE PERSON METAL SIGN,A,Vache à lait,7910.0,16705.245000000003,2.426067677946324,2.426067677946324,-5.234545435597341,Élastique,0.01099873577749684,2011-09,Surveiller sans action urgente,0.0
21754,HOME BUILDING BLOCK WORD,A,Vache à lait,2751.5,16497.275,6.271766965428937,6.271766965428937,,Non calculable,0.003997819371252044,2010-12,Surveiller sans action urgente,0.0
48187,DOORMAT NEW ENGLAND,A,Vache à lait,2278.0,16394.09,7.87764119601329,7.87764119601329,,Non calculable,0.001755926251097454,2011-03,Surveiller sans action urgente,0.0
23206,LUNCH BAG APPLE DESIGN,A,Étoile,9078.5,16378.655,2.0589553656220323,2.0589553656220323,0.8307600324256394,Atypique / complémentaire,0.0063887206036239465,2011-05,Mettre en avant et sécuriser le stock,0.0
21137,BLACK RECORD COVER FRAME,A,Étoile,4492.0,16364.369999999999,4.215585106382979,4.215585106382979,,Non calculable,0.0033392698130008903,2011-11,Mettre en avant et sécuriser le stock,0.0
22470,HEART OF WICKER LARGE,A,Étoile,5403.5,16324.605000000001,3.2850427350427354,3.2850427350427354,,Non calculable,0.012584436013694827,2010-12,Mettre en avant et sécuriser le stock,0.0
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,A,Étoile,5335.5,16198.945000000002,3.4687721691678037,3.4687721691678037,,Non calculable,0.007496954362290319,2011-11,Mettre en avant et sécuriser le stock,0.0
23202,JUMBO BAG VINTAGE LEAF,A,Étoile,7700.0,16037.645,2.2962302483069976,2.2962302483069976,,Non calculable,0.03142857142857143,2011-07,Mettre en avant et sécuriser le stock,0.0
15056N,EDWARDIAN PARASOL NATURAL,A,Étoile,2816.5,16025.425000000001,6.279475982532751,6.279475982532751,,Non calculable,0.015977276761938577,2011-07,Mettre en avant et sécuriser le stock,0.0
22835,HOT WATER BOTTLE I AM SO POORLY,A,Étoile,3115.0,15925.64,5.565634441087613,5.565634441087613,,Non calculable,0.11107544141252007,2011-11,Mettre en avant et sécuriser le stock,0.0
21175,GIN AND TONIC DIET METAL SIGN,A,Étoile,6321.5,15693.210000000001,2.7694334975369457,2.7694334975369457,,Non calculable,0.32112631495689314,2011-11,Vérifier qualité / description avant promotion,0.0
20712,JUMBO BAG WOODLAND ANIMALS,A,Étoile,6280.5,15647.775,2.9266168009205984,2.9266168009205984,,Non calculable,0.03821351803200382,2011-09,Mettre en avant et sécuriser le stock,0.0
22698,PINK REGENCY TEACUP AND SAUCER,A,Étoile,4985.5,15399.185000000001,3.708229166666667,3.708229166666667,,Non calculable,0.02768027279109417,2011-09,Mettre en avant et sécuriser le stock,0.0
20726,LUNCH BAG WOODLAND,A,Étoile,7906.5,15368.555,2.1818446601941743,2.1818446601941743,2.3340564928136773,Atypique / complémentaire,0.010371213558464555,2011-08,Mettre en avant et sécuriser le stock,0.0
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,A,Étoile,5203.0,15288.250000000002,3.2885442329227326,3.2885442329227326,,Non calculable,0.02056505862002691,2011-11,Mettre en avant et sécuriser le stock,0.0
21929,JUMBO BAG PINK VINTAGE PAISLEY,A,Vache à lait,6646.5,15238.27,2.678348623853211,2.678348623853211,,Non calculable,0.033401038140374636,2011-03,Surveiller sans action urgente,0.0
21731,RED TOADSTOOL LED NIGHT LIGHT,A,Étoile,7963.0,15205.04,2.3904327485380117,2.3904327485380117,0.22697775363852848,Atypique / complémentaire,0.02185106115785508,2011-11,Mettre en avant et sécuriser le stock,0.0
85099F,JUMBO BAG STRAWBERRY,A,Étoile,7518.0,15153.935,2.3821568627450977,2.3821568627450977,,Non calculable,0.03325352487363661,2011-03,Mettre en avant et sécuriser le stock,0.0
22629,SPACEBOY LUNCH BOX ,A,Étoile,7848.0,15126.32,2.193337016574586,2.193337016574586,,Non calculable,0.006880733944954129,2011-09,Mettre en avant et sécuriser le stock,0.0
22382,LUNCH BAG SPACEBOY DESIGN ,A,Étoile,8424.5,15042.335,2.0130927835051544,2.0130927835051544,3.535406347735499,Atypique / complémentaire,0.018873523651255268,2011-11,Mettre en avant et sécuriser le stock,0.0
23344,JUMBO BAG 50'S CHRISTMAS ,A,Vache à lait,6875.0,15006.91,2.4177423822714683,2.4177423822714683,,Non calculable,0.03810909090909091,2011-11,Surveiller sans action urgente,0.0
23173,REGENCY TEAPOT ROSES ,A,Étoile,1807.5,14979.525,8.40688836104513,8.40688836104513,,Non calculable,0.028769017980636236,2011-05,Mettre en avant et sécuriser le stock,0.0
22624,IVORY KITCHEN SCALES,A,Étoile,1818.5,14943.525,8.411744022503514,8.411744022503514,,Non calculable,0.009348364036293648,2011-06,Mettre en avant et sécuriser le stock,0.0
22077,6 RIBBONS RUSTIC CHARM,A,Étoile,7778.5,14830.045,2.211237113402062,2.211237113402062,,Non calculable,0.004371022690750145,2011-10,Mettre en avant et sécuriser le stock,0.0
21479,WHITE SKULL HOT WATER BOTTLE ,A,Étoile,2785.5,14732.855,4.952431372549019,4.952431372549019,,Non calculable,0.06641536528450906,2010-12,Mettre en avant et sécuriser le stock,0.0
21733,RED HANGING HEART T-LIGHT HOLDER,A,Étoile,5095.5,14631.165,3.160996015936255,3.160996015936255,,Non calculable,0.011186340889019724,2011-11,Mettre en avant et sécuriser le stock,0.0
21523,DOORMAT FANCY FONT HOME SWEET HOME,A,Étoile,2008.5,14491.48,7.925617529880478,7.925617529880478,,Non calculable,0.0024894199651481204,2011-09,Mettre en avant et sécuriser le stock,0.0
22728,ALARM CLOCK BAKELIKE PINK,A,Étoile,3561.5,14352.345,4.579709228824274,4.579709228824274,,Non calculable,0.011512003369366839,2011-11,Mettre en avant et sécuriser le stock,0.0
82483,WOOD 2 DRAWER CABINET WHITE FINISH,A,Étoile,2248.5,14152.985,6.703663003663004,6.703663003663004,,Non calculable,0.09028241049588615,2011-11,Mettre en avant et sécuriser le stock,0.0
22384,LUNCH BAG PINK POLKADOT,A,Étoile,8268.0,14144.34,2.031925522252498,2.031925522252498,-1.4917537321936252,Élastique,0.018384131591678763,2011-07,Mettre en avant et sécuriser le stock,0.0
22467,GUMBALL COAT RACK,A,Étoile,5749.5,14077.93,2.8794049346879533,2.8794049346879533,,Non calculable,0.02539351247934603,2011-11,Mettre en avant et sécuriser le stock,0.0
48194,DOORMAT HEARTS,A,Étoile,1913.0,14018.79,7.957032040472175,7.957032040472175,,Non calculable,0.0015682174594877157,2011-03,Mettre en avant et sécuriser le stock,0.0
21485,RETROSPOT HEART HOT WATER BOTTLE,A,Étoile,2809.0,13915.295,5.3833593749999995,5.3833593749999995,,Non calculable,0.00711997152011392,2011-11,Mettre en avant et sécuriser le stock,0.0
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,A,Étoile,4511.0,13803.165,3.415258620689655,3.415258620689655,,Non calculable,2.076479716249169,2011-11,Vérifier qualité / description avant promotion,0.0
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,A,Étoile,6223.0,13752.380000000001,2.697144622991347,2.697144622991347,,Non calculable,0.0430660453157641,2011-08,Mettre en avant et sécuriser le stock,0.0
23240,SET OF 4 KNICK KNACK TINS DOILY ,A,Vache à lait,3287.5,13664.545,4.445494505494506,4.445494505494506,,Non calculable,0.015209125475285171,2011-06,Surveiller sans action urgente,0.0
21843,RED RETROSPOT CAKE STAND,A,Vache à lait,1634.0,13548.369999999999,8.431182994454712,8.431182994454712,,Non calculable,0.19645042839657284,2011-11,Surveiller sans action urgente,0.0
84029E,RED WOOLLY HOTTIE WHITE HEART.,A,Étoile,2897.5,13495.735,5.020867579908676,5.020867579908676,,Non calculable,0.006557377049180328,2010-12,Mettre en avant et sécuriser le stock,0.0
21212,PACK OF 72 RETROSPOT CAKE CASES,A,Vache à lait,20153.5,13416.785,0.7612056213017753,0.7992659023668641,-0.2925448828469892,Inélastique,0.014091845088942368,2011-03,Tester une hausse de prix de 3 à 5 %,670.83925
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,A,Étoile,2805.5,13395.705,5.203068669527897,5.203068669527897,,Non calculable,0.004990197825699519,2010-12,Mettre en avant et sécuriser le stock,0.0
20724,RED RETROSPOT CHARLOTTE BAG,A,Étoile,10944.5,13228.92,1.1461973180076628,1.203507183908046,-0.5263560802232776,Inélastique,0.020375531088674678,2011-11,Tester une hausse de prix de 3 à 5 %,661.446
22630,DOLLY GIRL LUNCH BOX,A,Étoile,6500.5,12893.215,2.3315268065268064,2.3315268065268064,,Non calculable,0.0409199292362126,2011-09,Mettre en avant et sécuriser le stock,0.0
23301,GARDENERS KNEELING PAD KEEP CALM ,A,Étoile,6858.0,12674.045,1.9439673913043478,1.9439673913043478,,Non calculable,0.016622922134733157,2011-11,Mettre en avant et sécuriser le stock,0.0
85066,CREAM SWEETHEART MINI CHEST,A,Étoile,1487.5,12559.97,8.449370229007632,8.449370229007632,,Non calculable,0.027563025210084035,2011-09,Mettre en avant et sécuriser le stock,0.0
22083,PAPER CHAIN KIT RETROSPOT,A,Étoile,4010.0,12502.740000000002,3.7658756137479545,3.7658756137479545,,Non calculable,0.01172069825436409,2011-11,Mettre en avant et sécuriser le stock,0.0
22625,RED KITCHEN SCALES,A,Étoile,1535.0,12435.0,8.387362637362637,8.387362637362637,,Non calculable,0.015635179153094463,2010-12,Mettre en avant et sécuriser le stock,0.0
22355,CHARLOTTE BAG SUKI DESIGN,A,Étoile,9337.5,12433.57,1.2166067415730337,1.2166067415730337,0.1878203070637819,Atypique / complémentaire,0.01606425702811245,2011-11,Mettre en avant et sécuriser le stock,0.0
23313,VINTAGE CHRISTMAS BUNTING,A,Vache à lait,2455.5,12405.925,5.2914215686274515,5.2914215686274515,,Non calculable,0.005294237426186113,2011-11,Surveiller sans action urgente,0.0
22865,HAND WARMER OWL DESIGN,A,Étoile,5688.5,12343.800000000001,2.359009009009009,2.359009009009009,,Non calculable,0.021622571855497933,2011-11,Mettre en avant et sécuriser le stock,0.0
21232,STRAWBERRY CERAMIC TRINKET POT,A,Vache à lait,8259.5,12278.53,1.676267942583732,1.676267942583732,1.8278917695657546,Atypique / complémentaire,0.0464919183969974,2011-11,Surveiller sans action urgente,0.0
22993,SET OF 4 PANTRY JELLY MOULDS,A,Étoile,9376.0,12211.055,1.497788990825688,1.497788990825688,-3.5668248651300067,Élastique,0.007252559726962458,2011-03,Mettre en avant et sécuriser le stock,0.0
20713,JUMBO BAG OWLS,A,Étoile,5298.5,12189.99,2.7772809667673717,2.7772809667673717,,Non calculable,0.045862036425403416,2011-09,Mettre en avant et sécuriser le stock,0.0
22752,SET 7 BABUSHKA NESTING BOXES,A,Étoile,1592.0,12152.039999999999,8.227015706806283,8.227015706806283,,Non calculable,0.07788944723618091,2010-12,Mettre en avant et sécuriser le stock,0.0
21755,LOVE BUILDING BLOCK WORD,A,Vache à lait,2011.0,12130.800000000001,6.287854889589905,6.287854889589905,,Non calculable,0.001989060169070114,2011-01,Surveiller sans action urgente,0.0
84978,HANGING HEART JAR T-LIGHT HOLDER,A,Vache à lait,9160.5,12085.605,1.4836289222373806,1.4836289222373806,2.5237797487647526,Atypique / complémentaire,0.01910376071175154,2011-05,Surveiller sans action urgente,0.0
22969,HOMEMADE JAM SCENTED CANDLES,A,Vache à lait,7916.5,12024.824999999999,1.7925077399380807,1.7925077399380807,1.5128076633360181,Atypique / complémentaire,0.017684582833322807,2010-12,Surveiller sans action urgente,0.0
23356,LOVE HOT WATER BOTTLE,A,Vache à lait,2104.0,11964.800000000001,6.017901234567902,6.017901234567902,,Non calculable,0.0042775665399239545,2011-11,Surveiller sans action urgente,0.0
48184,DOORMAT ENGLISH ROSE ,A,Étoile,1642.0,11957.710000000001,7.855061425061425,7.855061425061425,,Non calculable,0.0036540803897685747,2011-09,Mettre en avant et sécuriser le stock,0.0
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,A,Vache à lait,2491.0,11930.745,4.845672371638142,4.845672371638142,,Non calculable,0.003211561621838619,2011-11,Surveiller sans action urgente,0.0
21524,DOORMAT SPOTTY HOME SWEET HOME,A,Étoile,1603.5,11902.885,7.936278586278586,7.936278586278586,,Non calculable,0.0037418147801683817,2011-09,Mettre en avant et sécuriser le stock,0.0
21166,COOK WITH WINE METAL SIGN ,A,Étoile,5748.5,11837.85,2.3886126373626375,2.3886126373626375,,Non calculable,0.015134382882491085,2011-09,Mettre en avant et sécuriser le stock,0.0
15056BL,EDWARDIAN PARASOL BLACK,A,Étoile,2059.0,11743.650000000001,6.076479750778816,6.076479750778816,,Non calculable,0.06313744536182612,2011-10,Mettre en avant et sécuriser le stock,0.0
22427,ENAMEL FLOWER JUG CREAM,A,Vache à lait,1996.5,11743.045,6.194636542239686,6.194636542239686,,Non calculable,0.02053593789130979,2011-06,Surveiller sans action urgente,0.0
20750,RED RETROSPOT MINI CASES,A,Vache à lait,1618.0,11683.9,7.780051813471502,7.780051813471502,,Non calculable,0.003708281829419036,2011-11,Surveiller sans action urgente,0.0
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,A,Étoile,3896.5,11584.995,3.275880341880342,3.275880341880342,,Non calculable,0.16835621711792634,2011-03,Mettre en avant et sécuriser le stock,0.0
22499,WOODEN UNION JACK BUNTING,A,Vache à lait,1902.0,11545.380000000001,6.3870000000000005,6.3870000000000005,,Non calculable,0.002103049421661409,2011-04,Surveiller sans action urgente,0.0
84997D,CHILDRENS CUTLERY POLKADOT PINK,A,Étoile,2864.5,11503.665,4.4071428571428575,4.4071428571428575,,Non calculable,0.010123930877989178,2011-01,Mettre en avant et sécuriser le stock,0.0
22113,GREY HEART HOT WATER BOTTLE,A,Étoile,2823.0,11372.985,4.3803264604811,4.3803264604811,,Non calculable,0.009564293304994687,2011-11,Mettre en avant et sécuriser le stock,0.0
82583,HOT BATHS METAL SIGN,A,Étoile,4333.0,11253.07,2.955829307568438,2.955829307568438,,Non calculable,0.01661666282021694,2011-11,Mettre en avant et sécuriser le stock,0.0
20719,WOODLAND CHARLOTTE BAG,A,Étoile,8732.0,11246.505,1.2108571428571429,1.2108571428571429,-3.2901456000587905,Élastique,0.01282638570774164,2011-11,Mettre en avant et sécuriser le stock,0.0
22501,PICNIC BASKET WICKER LARGE,A,Vache à lait,1314.5,11078.42,8.435887640449439,8.435887640449439,,Non calculable,0.07607455306200075,2011-05,Surveiller sans action urgente,0.0
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,A,Vache à lait,2261.5,11059.0,5.478556263269639,5.478556263269639,,Non calculable,0.05085120495246518,2011-09,Surveiller sans action urgente,0.0
22084,PAPER CHAIN KIT EMPIRE,A,Vache à lait,3709.5,10928.845000000001,3.2728442437923255,3.2728442437923255,,Non calculable,0.01105270252055533,2011-04,Surveiller sans action urgente,0.0
22502,PICNIC BASKET WICKER SMALL,A,Vache à lait,1736.0,10827.15,7.056630901287553,7.056630901287553,,Non calculable,0.043202764976958526,2011-05,Surveiller sans action urgente,0.0
21930,JUMBO STORAGE BAG SKULLS,A,Étoile,4629.0,10807.880000000001,2.7869887955182073,2.7869887955182073,,Non calculable,0.0006480881399870382,2011-09,Mettre en avant et sécuriser le stock,0.0
22193,RED DINER WALL CLOCK,A,Étoile,1313.0,10748.449999999999,8.39782608695652,8.39782608695652,,Non calculable,0.01827875095201828,2011-09,Mettre en avant et sécuriser le stock,0.0
85152,HAND OVER THE CHOCOLATE   SIGN ,A,Étoile,5194.5,10746.800000000001,2.3584683357879235,2.3584683357879235,,Non calculable,0.014245836942920396,2011-09,Mettre en avant et sécuriser le stock,0.0
22776,SWEETHEART 3 TIER CAKE STAND ,A,Vache à lait,1244.0,10511.8,8.45,8.45,,Non calculable,0.0747588424437299,2011-03,Surveiller sans action urgente,0.0
20749,ASSORTED COLOUR MINI CASES,A,Étoile,1449.5,10451.324999999999,7.788181818181818,7.788181818181818,,Non calculable,0.005519144532597447,2011-11,Mettre en avant et sécuriser le stock,0.0
22558,CLOTHES PEGS RETROSPOT PACK 24 ,A,Vache à lait,6552.5,10385.445,1.8339870967741934,1.8339870967741934,,Non calculable,0.0064097672644029,2011-09,Surveiller sans action urgente,0.0
22379,RECYCLING BAG RETROSPOT ,A,Étoile,4086.5,10378.515,3.1890400000000003,3.1890400000000003,,Non calculable,0.015661323871283495,2010-12,Mettre en avant et sécuriser le stock,0.0
22385,JUMBO BAG SPACEBOY DESIGN,A,Étoile,4796.0,10355.81,2.6552167630057806,2.6552167630057806,,Non calculable,0.024603836530442035,2011-09,Mettre en avant et sécuriser le stock,0.0
22867,HAND WARMER BIRD DESIGN,A,Étoile,4614.5,10245.965,2.401336898395722,2.401336898395722,,Non calculable,0.011485534727489435,2011-11,Mettre en avant et sécuriser le stock,0.0
22189,CREAM HEART CARD HOLDER,A,Étoile,2768.0,10234.07,4.452110266159695,4.452110266159695,,Non calculable,0.002890173410404624,2010-12,Mettre en avant et sécuriser le stock,0.0
