month,product_category,monthly_revenue,monthly_quantity,nb_orders,avg_monthly_revenue_category,seasonality_index,seasonality_status
2011-08,Other,175668.525,81171.0,1183,199839.01615384614,0.8790501894022612,Mois normal
2011-08,Stationery,44549.48,34416.5,808,46025.35923076923,0.9679333468453939,Mois normal
2011-08,Textile,3555.27,1192.0,133,4845.3452307692305,0.733749574214669,Mois faible
2011-08,Toys & Kids,13622.025,4264.0,333,14345.354615384616,0.9495774322226315,Mois normal
2011-09,Accessories,8576.295,5337.5,353,7562.534615384615,1.1340503463684084,Mois normal
2011-09,Bags & Packaging,87411.04,48842.0,1091,64769.86538461538,1.3495634039215174,Mois fort
2011-09,Christmas,61146.020000000004,40560.5,736,28110.284615384615,2.1752188153418803,Mois fort
2011-09,Home Decor,170093.575,95145.5,1516,128166.11461538462,1.3271337397598113,Mois fort
2011-09,Kitchen & Tableware,76871.895,36683.5,1078,64000.00576923077,1.2011232511006686,Mois fort
2011-09,Other,247278.95,110552.5,1597,199839.01615384614,1.2373907496103376,Mois fort
2011-09,Stationery,60258.6,46993.5,1133,46025.35923076923,1.3092477931104436,Mois fort
2011-09,Textile,7666.156,2390.5,247,4845.3452307692305,1.5821692025818659,Mois fort
2011-09,Toys & Kids,18545.185,5924.5,455,14345.354615384616,1.2927658811662484,Mois fort
2011-10,Accessories,10241.98,7531.5,473,7562.534615384615,1.3543052059774425,Mois fort
2011-10,Bags & Packaging,79833.47,43500.0,1224,64769.86538461538,1.2325711891777782,Mois fort
2011-10,Christmas,84993.775,60015.0,1064,28110.284615384615,3.0235828687939836,Mois fort
2011-10,Home Decor,193776.285,101783.0,1658,128166.11461538462,1.511915107838806,Mois fort
2011-10,Kitchen & Tableware,72996.01,33671.0,1169,64000.00576923077,1.140562553434866,Mois normal
2011-10,Other,264991.86,117003.5,1770,199839.01615384614,1.326026644346547,Mois fort
2011-10,Stationery,64050.77,46991.0,1257,46025.35923076923,1.391640849099126,Mois fort
2011-10,Textile,7923.82,2463.0,262,4845.3452307692305,1.6353468375548632,Mois fort
2011-10,Toys & Kids,22251.075,7783.5,595,14345.354615384616,1.551099683247769,Mois fort
2011-11,Accessories,13113.83,8579.5,543,7562.534615384615,1.7340522281144042,Mois fort
2011-11,Bags & Packaging,102957.035,53460.5,1613,64769.86538461538,1.5895823526669721,Mois fort
2011-11,Christmas,122201.595,77233.5,1608,28110.284615384615,4.347220125018574,Mois fort
2011-11,Home Decor,234211.745,120748.0,2207,128166.11461538462,1.8274077021282038,Mois fort
2011-11,Kitchen & Tableware,96485.41,42872.5,1589,64000.00576923077,1.5075843953499644,Mois fort
2011-11,Other,375924.405,162334.0,2422,199839.01615384614,1.8811361876931705,Mois fort
2011-11,Stationery,92431.905,61126.0,1730,46025.35923076923,2.0082820980614247,Mois fort
2011-11,Textile,7367.8,2357.0,280,4845.3452307692305,1.52059340441059,Mois fort
2011-11,Toys & Kids,28428.81,9938.5,823,14345.354615384616,1.9817432724536235,Mois fort
2011-12,Accessories,4531.27,3687.5,164,7562.534615384615,0.599173455785835,Mois faible
2011-12,Bags & Packaging,30816.065,15581.5,453,64769.86538461538,0.47577781452853934,Mois faible
2011-12,Christmas,29766.22,17436.0,423,28110.284615384615,1.0589085243096081,Mois normal
2011-12,Home Decor,73232.85,39037.0,649,128166.11461538462,0.5713901074380341,Mois faible
2011-12,Kitchen & Tableware,31967.079999999998,13516.0,459,64000.00576923077,0.4994855799742566,Mois faible
2011-12,Other,121071.7,51600.5,722,199839.01615384614,0.6058461572228363,Mois faible
2011-12,Stationery,26321.94,18851.5,492,46025.35923076923,0.5719008051196925,Mois faible
2011-12,Textile,2411.955,1329.5,92,4845.3452307692305,0.4977880594933555,Mois faible
2011-12,Toys & Kids,7761.845,2809.0,215,14345.354615384616,0.5410702773200072,Mois faible
