StockCode,description,product_category,rank_revenue,total_revenue,cumulative_revenue_pct,abc_class,sku_count,cumulative_sku_count,cumulative_sku_pct
22178,VICTORIAN GLASS HANGING T-LIGHT,Home Decor,31,20405.145,13.353870002225717,A,1,31,0.7918263090676885
22138,BAKING SET 9 PIECE RETROSPOT ,Other,32,19927.925,13.62875194492173,A,1,32,0.8173690932311622
22666,RECIPE BOX PANTRY YELLOW DESIGN,Home Decor,33,19469.75,13.897313910294729,A,1,33,0.8429118773946359
48138,DOORMAT UNION FLAG,Other,34,19194.135,14.162074095671256,A,1,34,0.8684546615581098
22469,HEART OF WICKER SMALL,Home Decor,35,19072.260000000002,14.42515316087265,A,1,35,0.8939974457215836
23199,JUMBO BAG APPLES,Bags & Packaging,36,19047.945,14.68789682966741,A,1,36,0.9195402298850575
22111,SCOTTIE DOG HOT WATER BOTTLE,Other,37,19034.875,14.950460213410363,A,1,37,0.9450830140485313
82482,WOODEN PICTURE FRAME WHITE FINISH,Other,38,18948.3,15.211829398349932,A,1,38,0.9706257982120051
20727,LUNCH BAG  BLACK SKULL.,Bags & Packaging,39,18945.605,15.473161408980808,A,1,39,0.996168582375479
22383,LUNCH BAG SUKI DESIGN ,Home Decor,40,18783.14,15.732252408828066,A,1,40,1.0217113665389528
22197,POPCORN HOLDER,Other,41,18644.989999999998,15.989437794298341,A,1,41,1.0472541507024267
22961,JAM MAKING SET PRINTED,Other,42,18555.735,16.24539201356364,A,1,42,1.0727969348659003
22090,PAPER BUNTING RETROSPOT,Stationery,43,18420.81,16.49948510347813,A,1,43,1.0983397190293742
20728,LUNCH BAG CARS BLUE,Bags & Packaging,44,18253.725,16.751273455222666,A,1,44,1.1238825031928479
84946,ANTIQUE SILVER T-LIGHT GLASS,Other,45,18002.33,16.999594112965745,A,1,45,1.1494252873563218
82494L,WOODEN FRAME ANTIQUE WHITE ,Other,46,17980.24,17.247610065521798,A,1,46,1.1749680715197957
21621,VINTAGE UNION JACK BUNTING,Stationery,47,17627.395,17.49075894240035,A,1,47,1.2005108556832695
82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,Other,48,17467.899999999998,17.731707776100784,A,1,48,1.2260536398467434
23209,LUNCH BAG VINTAGE DOILY ,Stationery,49,17372.595,17.971341991066517,A,1,49,1.251596424010217
23201,JUMBO BAG ALPHABET,Bags & Packaging,50,17369.185,18.210929169151864,A,1,50,1.277139208173691
85099C,JUMBO  BAG BAROQUE BLACK WHITE,Bags & Packaging,51,17260.85,18.449021995202973,A,1,51,1.3026819923371646
22722,SET OF 6 SPICE TINS PANTRY DESIGN,Home Decor,52,16743.025,18.679972043369446,A,1,52,1.3282247765006385
21181,PLEASE ONE PERSON METAL SIGN,Home Decor,53,16705.245000000003,18.91040096152389,A,1,53,1.3537675606641124
21754,HOME BUILDING BLOCK WORD,Home Decor,54,16497.275,19.137961181726965,A,1,54,1.3793103448275863
48187,DOORMAT NEW ENGLAND,Other,55,16394.09,19.364098087999608,A,1,55,1.40485312899106
23206,LUNCH BAG APPLE DESIGN,Home Decor,56,16378.655,19.590022086867922,A,1,56,1.4303959131545338
21137,BLACK RECORD COVER FRAME,Other,57,16364.369999999999,19.81574904120945,A,1,57,1.4559386973180077
22470,HEART OF WICKER LARGE,Home Decor,58,16324.605000000001,20.04092748483291,A,1,58,1.4814814814814816
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,Bags & Packaging,59,16198.945000000002,20.264372598723387,A,1,59,1.5070242656449553
23202,JUMBO BAG VINTAGE LEAF,Stationery,60,16037.645,20.485592771614897,A,1,60,1.532567049808429
15056N,EDWARDIAN PARASOL NATURAL,Other,61,16025.425000000001,20.706644384190177,A,1,61,1.5581098339719028
22835,HOT WATER BOTTLE I AM SO POORLY,Other,62,15925.64,20.926319581777346,A,1,62,1.583652618135377
21175,GIN AND TONIC DIET METAL SIGN,Home Decor,63,15693.210000000001,21.142788684904566,A,1,63,1.6091954022988506
20712,JUMBO BAG WOODLAND ANIMALS,Bags & Packaging,64,15647.775,21.358631066430494,A,1,64,1.6347381864623245
22698,PINK REGENCY TEACUP AND SAUCER,Kitchen & Tableware,65,15399.185000000001,21.57104444558238,A,1,65,1.6602809706257982
20726,LUNCH BAG WOODLAND,Bags & Packaging,66,15368.555,21.78303532043917,A,1,66,1.6858237547892718
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,Kitchen & Tableware,67,15288.250000000002,21.993918483659744,A,1,67,1.711366538952746
21929,JUMBO BAG PINK VINTAGE PAISLEY,Stationery,68,15238.27,22.204112232428187,A,1,68,1.7369093231162196
21731,RED TOADSTOOL LED NIGHT LIGHT,Other,69,15205.04,22.41384761300447,A,1,69,1.7624521072796935
85099F,JUMBO BAG STRAWBERRY,Bags & Packaging,70,15153.935,22.622878061096234,A,1,70,1.7879948914431671
22629,SPACEBOY LUNCH BOX ,Bags & Packaging,71,15126.32,22.831527593219704,A,1,71,1.8135376756066413
22382,LUNCH BAG SPACEBOY DESIGN ,Home Decor,72,15042.335,23.039018652498793,A,1,72,1.839080459770115
23344,JUMBO BAG 50'S CHRISTMAS ,Christmas,73,15006.91,23.246021066180308,A,1,73,1.864623243933589
23173,REGENCY TEAPOT ROSES ,Kitchen & Tableware,74,14979.525,23.452645736469037,A,1,74,1.8901660280970627
22624,IVORY KITCHEN SCALES,Kitchen & Tableware,75,14943.525,23.65877382972141,A,1,75,1.9157088122605364
22077,6 RIBBONS RUSTIC CHARM,Accessories,76,14830.045,23.863336601804775,A,1,76,1.9412515964240102
21479,WHITE SKULL HOT WATER BOTTLE ,Other,77,14732.855,24.066558753828062,A,1,77,1.966794380587484
21733,RED HANGING HEART T-LIGHT HOLDER,Home Decor,78,14631.165,24.26837821366173,A,1,78,1.992337164750958
21523,DOORMAT FANCY FONT HOME SWEET HOME,Home Decor,79,14491.48,24.468270885625344,A,1,79,2.0178799489144317
22728,ALARM CLOCK BAKELIKE PINK,Other,80,14352.345,24.666244356312504,A,1,80,2.0434227330779056
82483,WOOD 2 DRAWER CABINET WHITE FINISH,Other,81,14152.985,24.86146789372282,A,1,81,2.0689655172413794
22384,LUNCH BAG PINK POLKADOT,Bags & Packaging,82,14144.34,25.056572183675385,A,1,82,2.0945083014048533
22467,GUMBALL COAT RACK,Other,83,14077.93,25.250760426933955,A,1,83,2.1200510855683268
48194,DOORMAT HEARTS,Home Decor,84,14018.79,25.444132904472255,A,1,84,2.1455938697318007
21485,RETROSPOT HEART HOT WATER BOTTLE,Home Decor,85,13915.295,25.63607779200009,A,1,85,2.1711366538952745
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,Other,86,13803.165,25.826475979997767,A,1,86,2.1966794380587484
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,Bags & Packaging,87,13752.380000000001,26.01617364952903,A,1,87,2.2222222222222223
23240,SET OF 4 KNICK KNACK TINS DOILY ,Other,88,13664.545,26.204659740060638,A,1,88,2.2477650063856958
21843,RED RETROSPOT CAKE STAND,Kitchen & Tableware,89,13548.369999999999,26.39154333511453,A,1,89,2.27330779054917
84029E,RED WOOLLY HOTTIE WHITE HEART.,Home Decor,90,13495.735,26.577700893159868,A,1,90,2.2988505747126435
21212,PACK OF 72 RETROSPOT CAKE CASES,Kitchen & Tableware,91,13416.785,26.76276943017688,A,1,91,2.324393358876118
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,Other,92,13395.705,26.947547193751497,A,1,92,2.3499361430395913
20724,RED RETROSPOT CHARLOTTE BAG,Bags & Packaging,93,13228.92,27.130024357298133,A,1,93,2.375478927203065
22630,DOLLY GIRL LUNCH BOX,Bags & Packaging,94,12893.215,27.3078708710118,A,1,94,2.401021711366539
23301,GARDENERS KNEELING PAD KEEP CALM ,Other,95,12674.045,27.482694196140567,A,1,95,2.4265644955300125
85066,CREAM SWEETHEART MINI CHEST,Home Decor,96,12559.97,27.65594399278541,A,1,96,2.452107279693487
22083,PAPER CHAIN KIT RETROSPOT,Stationery,97,12502.740000000002,27.828404369880523,A,1,97,2.4776500638569603
22625,RED KITCHEN SCALES,Kitchen & Tableware,98,12435.0,27.99993035451891,A,1,98,2.503192848020434
22355,CHARLOTTE BAG SUKI DESIGN,Home Decor,99,12433.57,28.171436614013906,A,1,99,2.528735632183908
23313,VINTAGE CHRISTMAS BUNTING,Christmas,100,12405.925,28.342561543726415,A,1,100,2.554278416347382
22865,HAND WARMER OWL DESIGN,Home Decor,101,12343.800000000001,28.51282953320605,A,1,101,2.579821200510856
21232,STRAWBERRY CERAMIC TRINKET POT,Other,102,12278.53,28.68219720093118,A,1,102,2.6053639846743293
22993,SET OF 4 PANTRY JELLY MOULDS,Other,103,12211.055,28.850634131558323,A,1,103,2.630906768837803
20713,JUMBO BAG OWLS,Bags & Packaging,104,12189.99,29.01878049565017,A,1,104,2.656449553001277
22752,SET 7 BABUSHKA NESTING BOXES,Bags & Packaging,105,12152.039999999999,29.186403384782867,A,1,105,2.681992337164751
21755,LOVE BUILDING BLOCK WORD,Other,106,12130.800000000001,29.353733293464114,A,1,106,2.707535121328225
84978,HANGING HEART JAR T-LIGHT HOLDER,Home Decor,107,12085.605,29.520439791057644,A,1,107,2.7330779054916987
22969,HOMEMADE JAM SCENTED CANDLES,Home Decor,108,12024.824999999999,29.68630790108815,A,1,108,2.7586206896551726
23356,LOVE HOT WATER BOTTLE,Other,109,11964.800000000001,29.85134803787958,A,1,109,2.7841634738186465
48184,DOORMAT ENGLISH ROSE ,Other,110,11957.710000000001,30.01629037658245,A,1,110,2.80970625798212
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,Other,111,11930.745,30.1808607652913,A,1,111,2.835249042145594
21524,DOORMAT SPOTTY HOME SWEET HOME,Home Decor,112,11902.885,30.345046858549235,A,1,112,2.8607918263090677
21166,COOK WITH WINE METAL SIGN ,Home Decor,113,11837.85,30.508335871597208,A,1,113,2.8863346104725416
15056BL,EDWARDIAN PARASOL BLACK,Other,114,11743.650000000001,30.670325508066735,A,1,114,2.9118773946360155
22427,ENAMEL FLOWER JUG CREAM,Other,115,11743.045,30.832306799283295,A,1,115,2.937420178799489
20750,RED RETROSPOT MINI CASES,Other,116,11683.9,30.993472255810552,A,1,116,2.9629629629629632
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,Bags & Packaging,117,11584.995,31.153273435899475,A,1,117,2.9885057471264367
22499,WOODEN UNION JACK BUNTING,Other,118,11545.380000000001,31.31252817434132,A,1,118,3.0140485312899106
84997D,CHILDRENS CUTLERY POLKADOT PINK,Toys & Kids,119,11503.665,31.471207504142296,A,1,119,3.0395913154533845
22113,GREY HEART HOT WATER BOTTLE,Home Decor,120,11372.985,31.628084259301332,A,1,120,3.065134099616858
82583,HOT BATHS METAL SIGN,Home Decor,121,11253.07,31.7833069301461,A,1,121,3.0906768837803322
20719,WOODLAND CHARLOTTE BAG,Bags & Packaging,122,11246.505,31.938439044650764,A,1,122,3.1162196679438057
22501,PICNIC BASKET WICKER LARGE,Other,123,11078.42,32.09125262717892,A,1,123,3.1417624521072796
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,Kitchen & Tableware,124,11059.0,32.24379833398358,A,1,124,3.167305236270754
22084,PAPER CHAIN KIT EMPIRE,Stationery,125,10928.845000000001,32.394548707894735,A,1,125,3.1928480204342273
22502,PICNIC BASKET WICKER SMALL,Other,126,10827.15,32.54389632064726,A,1,126,3.218390804597701
21930,JUMBO STORAGE BAG SKULLS,Bags & Packaging,127,10807.880000000001,32.69297812674725,A,1,127,3.2439335887611747
22193,RED DINER WALL CLOCK,Home Decor,128,10748.449999999999,32.841240166923086,A,1,128,3.269476372924649
85152,HAND OVER THE CHOCOLATE   SIGN ,Home Decor,129,10746.800000000001,32.98947944731809,A,1,129,3.295019157088123
22776,SWEETHEART 3 TIER CAKE STAND ,Home Decor,130,10511.8,33.134477183170254,A,1,130,3.3205619412515963
20749,ASSORTED COLOUR MINI CASES,Other,131,10451.324999999999,33.2786407385704,A,1,131,3.34610472541507
22558,CLOTHES PEGS RETROSPOT PACK 24 ,Bags & Packaging,132,10385.445,33.42189555799403,A,1,132,3.3716475095785436
22379,RECYCLING BAG RETROSPOT ,Bags & Packaging,133,10378.515,33.56505478633816,A,1,133,3.397190293742018
22385,JUMBO BAG SPACEBOY DESIGN,Home Decor,134,10355.81,33.70790082630423,A,1,134,3.422733077905492
22867,HAND WARMER BIRD DESIGN,Home Decor,135,10245.965,33.849231685588144,A,1,135,3.4482758620689653
22189,CREAM HEART CARD HOLDER,Home Decor,136,10234.07,33.99039846754296,A,1,136,3.473818646232439
23207,LUNCH BAG ALPHABET DESIGN,Home Decor,137,10154.0,34.1304607794061,A,1,137,3.4993614303959135
22659,LUNCH BOX I LOVE LONDON,Bags & Packaging,138,10141.125,34.27034549600972,A,1,138,3.524904214559387
23200,JUMBO BAG PEARS,Bags & Packaging,139,10103.005000000001,34.40970439270706,A,1,139,3.550446998722861
71477,COLOURED GLASS STAR T-LIGHT HOLDER,Other,140,10012.305,34.54781219114895,A,1,140,3.5759897828863343
21481,FAWN BLUE HOT WATER BOTTLE,Other,141,9919.61,34.684641372691274,A,1,141,3.601532567049808
22941,CHRISTMAS LIGHTS 10 REINDEER,Christmas,142,9904.449999999999,34.82126144012607,A,1,142,3.6270753512132825
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,Bags & Packaging,143,9899.61,34.95781474553709,A,1,143,3.6526181353767564
21915,RED  HARMONICA IN BOX ,Bags & Packaging,144,9898.22,35.09434887755699,A,1,144,3.67816091954023
22866,HAND WARMER SCOTTY DOG DESIGN,Home Decor,145,9833.715,35.22999324008439,A,1,145,3.7037037037037033
23108,SET OF 10 LED DOLLY LIGHTS,Toys & Kids,146,9830.68,35.365595738408864,A,1,146,3.729246487867178
22900,SET 2 TEA TOWELS I LOVE LONDON ,Kitchen & Tableware,147,9749.525,35.50007880036154,A,1,147,3.7547892720306515
47590B,PINK HAPPY BIRTHDAY BUNTING,Other,148,9711.6,35.63403873220024,A,1,148,3.7803320561941254
22607,WOODEN ROUNDERS GARDEN SET ,Other,149,9674.289999999999,35.76748401711598,A,1,149,3.805874840357599
22554,PLASTERS IN TIN WOODLAND ANIMALS,Other,150,9615.27,35.900115191568254,A,1,150,3.8314176245210727
84997B,CHILDRENS CUTLERY RETROSPOT RED ,Toys & Kids,151,9593.155,36.03244131598833,A,1,151,3.856960408684547
22568,FELTCRAFT CUSHION OWL,Textile,152,9588.325,36.16470081632271,A,1,152,3.8825031928480205
22087,PAPER BUNTING WHITE LACE,Stationery,153,9572.705,36.29674485739852,A,1,153,3.9080459770114944
22622,BOX OF VINTAGE ALPHABET BLOCKS,Stationery,154,9565.4,36.428688134717376,A,1,154,3.933588761174968
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,Christmas,155,9558.755000000001,36.56053975219161,A,1,155,3.959131545338442
48185,DOORMAT FAIRY CAKE,Kitchen & Tableware,156,9527.57,36.69196120980811,A,1,156,3.984674329501916
47566B,TEA TIME PARTY BUNTING,Kitchen & Tableware,157,9526.395,36.823366459701894,A,1,157,4.01021711366539
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",Kitchen & Tableware,158,9433.375,36.95348860970898,A,1,158,4.035759897828863
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,Christmas,159,9427.81,37.083533997182535,A,1,159,4.061302681992337
22692,DOORMAT WELCOME TO OUR HOME,Home Decor,160,9405.05,37.21326543761866,A,1,160,4.086845466155811
22730,ALARM CLOCK BAKELIKE IVORY,Other,161,9395.205,37.34286107802915,A,1,161,4.112388250319285
20723,STRAWBERRY CHARLOTTE BAG,Bags & Packaging,162,9357.76,37.47194020935281,A,1,162,4.137931034482759
22551,PLASTERS IN TIN SPACEBOY,Other,163,9291.16,37.60010067315923,A,1,163,4.163473818646232
23343,JUMBO BAG VINTAGE CHRISTMAS ,Christmas,164,9214.125,37.7271985310769,A,1,164,4.189016602809707
22617,BAKING SET SPACEBOY DESIGN,Home Decor,165,9188.325,37.853940508785186,A,1,165,4.21455938697318
22456,NATURAL SLATE CHALKBOARD LARGE ,Other,166,9093.575,37.979375523321416,A,1,166,4.2401021711366536
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,Other,167,9067.205,38.104446795178525,A,1,167,4.265644955300128
21936,RED RETROSPOT PICNIC BAG,Bags & Packaging,168,9050.84,38.229292331391186,A,1,168,4.291187739463601
22356,CHARLOTTE BAG PINK POLKADOT,Bags & Packaging,169,8988.095,38.35327237521092,A,1,169,4.316730523627076
22169,FAMILY ALBUM WHITE PICTURE FRAME,Other,170,8973.23,38.47704737409606,A,1,170,4.342273307790549
23208,LUNCH BAG VINTAGE LEAF DESIGN,Home Decor,171,8972.985,38.60081899349859,A,1,171,4.3678160919540225
47590A,BLUE HAPPY BIRTHDAY BUNTING,Other,172,8886.300000000001,38.72339489677901,A,1,172,4.393358876117497
22621,TRADITIONAL KNITTING NANCY,Other,173,8785.025,38.844573832299545,A,1,173,4.418901660280971
22191,IVORY DINER WALL CLOCK,Home Decor,174,8781.724999999999,38.96570724825842,A,1,174,4.444444444444445
23077,DOUGHNUT LIP GLOSS ,Other,175,8758.725,39.08652340666629,A,1,175,4.469987228607918
21314,SMALL GLASS HEART TRINKET POT,Home Decor,176,8739.255000000001,39.20707099966033,A,1,176,4.4955300127713915
82600,N0 SINGING METAL SIGN,Home Decor,177,8579.630000000001,39.3254167562814,A,1,177,4.521072796934866
22556,PLASTERS IN TIN CIRCUS PARADE ,Other,178,8498.185,39.44263907632678,A,1,178,4.54661558109834
22662,LUNCH BAG DOLLY GIRL DESIGN,Home Decor,179,8377.43,39.55819572526036,A,1,179,4.572158365261814
22619,SET OF 6 SOLDIER SKITTLES,Other,180,8327.285,39.67306068376374,A,1,180,4.597701149425287
23300,GARDENERS KNEELING PAD CUP OF TEA ,Kitchen & Tableware,181,8305.935,39.78763114449695,A,1,181,4.6232439335887605
22041,"RECORD FRAME 7"" SINGLE SIZE ",Other,182,8276.785,39.90179951576878,A,1,182,4.648786717752236
84375,SET OF 20 KIDS COOKIE CUTTERS,Other,183,8242.325,40.015492552466384,A,1,183,4.674329501915709
21155,RED RETROSPOT PEG BAG,Bags & Packaging,184,8219.675,40.12887315944527,A,1,184,4.699872286079183
20679,EDWARDIAN PARASOL RED,Other,185,8217.425000000001,40.24222273035939,A,1,185,4.725415070242656
21218,RED SPOTTY BISCUIT TIN,Other,186,8214.22,40.35552809212347,A,1,186,4.75095785440613
22144,CHRISTMAS CRAFT LITTLE FRIENDS,Christmas,187,8171.96,40.468250527622104,A,1,187,4.776500638569605
23322,LARGE WHITE HEART OF WICKER,Home Decor,188,8158.975,40.58079385054249,A,1,188,4.802043422733078
21790,VINTAGE SNAP CARDS,Stationery,189,8153.764999999999,40.69326530773068,A,1,189,4.827586206896552
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,Stationery,190,8144.085,40.8056032408713,A,1,190,4.853128991060025
35970,ZINC FOLKART SLEIGH BELLS,Other,191,8142.145,40.917914414027194,A,1,191,4.878671775223499
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,Other,192,8141.575,41.030217724713346,A,1,192,4.904214559386974
21217,RED RETROSPOT ROUND CAKE TINS,Kitchen & Tableware,193,8090.875,41.14182168940664,A,1,193,4.929757343550447
85014B,RED RETROSPOT UMBRELLA,Other,194,8058.6,41.252980458993044,A,1,194,4.955300127713921
84997C,CHILDRENS CUTLERY POLKADOT BLUE,Toys & Kids,195,8018.225,41.363582303639376,A,1,195,4.980842911877394
21484,CHICK GREY HOT WATER BOTTLE,Other,196,7981.075,41.47367170837181,A,1,196,5.006385696040868
23174,REGENCY SUGAR BOWL GREEN,Kitchen & Tableware,197,7969.63,41.583603242988104,A,1,197,5.031928480204343
22507,MEMO BOARD RETROSPOT  DESIGN,Home Decor,198,7959.085,41.69338932191417,A,1,198,5.057471264367816
21914,BLUE HARMONICA IN BOX ,Bags & Packaging,199,7948.525,41.803029738242905,A,1,199,5.08301404853129
22844,VINTAGE CREAM DOG FOOD CONTAINER,Stationery,200,7904.87,41.91206798594604,A,1,200,5.108556832694764
23170,REGENCY TEA PLATE ROSES ,Kitchen & Tableware,201,7899.85,42.021036988740214,A,1,201,5.134099616858237
23076,ICE CREAM SUNDAE LIP GLOSS,Other,202,7889.19,42.1298589495564,A,1,202,5.159642401021712
22766,PHOTO FRAME CORNICE,Other,203,7872.490000000001,42.238450553802956,A,1,203,5.185185185185185
22192,BLUE DINER WALL CLOCK,Home Decor,204,7826.325,42.34640536696943,A,1,204,5.210727969348659
71053,WHITE MOROCCAN METAL LANTERN,Other,205,7809.235,42.4541244439817,A,1,205,5.236270753512133
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,Other,206,7787.735,42.56154695415281,A,1,206,5.261813537675606
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,Other,207,7746.635,42.66840253887409,A,1,207,5.287356321839081
22654,DELUXE SEWING KIT ,Other,208,7691.42,42.77449649856588,A,1,208,5.312899106002554
22795,SWEETHEART RECIPE BOOK STAND,Home Decor,209,7679.575,42.88042707061891,A,1,209,5.338441890166028
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,Toys & Kids,210,7636.73,42.985766647029635,A,1,210,5.363984674329502
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,Bags & Packaging,211,7615.43,43.09081241536054,A,1,211,5.389527458492975
22725,ALARM CLOCK BAKELIKE CHOCOLATE,Other,212,7610.11,43.19578480064051,A,1,212,5.41507024265645
20711,JUMBO BAG TOYS ,Bags & Packaging,213,7606.56,43.30070821790717,A,1,213,5.440613026819923
22633,HAND WARMER UNION JACK,Other,214,7590.705000000001,43.405412934370744,A,1,214,5.466155810983397
22729,ALARM CLOCK BAKELIKE ORANGE,Other,215,7590.67,43.51011716805109,A,1,215,5.491698595146871
22149,FELTCRAFT 6 FLOWER FRIENDS,Other,216,7535.705,43.61406322515358,A,1,216,5.517241379310345
22847,BREAD BIN DINER STYLE IVORY,Other,217,7490.924999999999,43.717391595598066,A,1,217,5.542784163473819
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,Kitchen & Tableware,218,7354.275000000001,43.818835042375426,A,1,218,5.568326947637293
23082,SET 6 PAPER TABLE LANTERN HEARTS ,Home Decor,219,7344.75,43.920147103145254,A,1,219,5.593869731800766
20972,PINK CREAM FELT CRAFT TRINKET BOX ,Bags & Packaging,220,7249.315,44.02014275198553,A,1,220,5.61941251596424
22570,FELTCRAFT CUSHION RABBIT,Textile,221,7248.84,44.120131848767684,A,1,221,5.644955300127714
22424,ENAMEL BREAD BIN CREAM,Other,222,7241.549999999999,44.22002038869998,A,1,222,5.670498084291188
22966,GINGERBREAD MAN COOKIE CUTTER,Other,223,7227.275,44.319712022043554,A,1,223,5.696040868454662
21174,POTTERING IN THE SHED METAL SIGN,Home Decor,224,7187.455,44.41885438600971,A,1,224,5.721583652618135
22555,PLASTERS IN TIN STRONGMAN,Other,225,7135.455,44.517279472034474,A,1,225,5.747126436781609
23319,BOX OF 6 MINI 50'S CRACKERS,Bags & Packaging,226,7133.54,44.615678142919656,A,1,226,5.772669220945083
23321,SMALL WHITE HEART OF WICKER,Home Decor,227,7116.49,44.713841629402914,A,1,227,5.7982120051085575
23256,CHILDRENS CUTLERY SPACEBOY ,Toys & Kids,228,7051.62,44.811110311654275,A,1,228,5.823754789272031
22561,WOODEN SCHOOL COLOURING SET,Accessories,229,7049.345,44.90834761299571,A,1,229,5.849297573435504
85150,LADIES & GENTLEMEN METAL SIGN,Home Decor,230,7031.79,45.005342764062895,A,1,230,5.874840357598978
22804,PINK HANGING HEART T-LIGHT HOLDER,Home Decor,231,7010.575000000001,45.10204527952379,A,1,231,5.900383141762452
22627,MINT KITCHEN SCALES,Kitchen & Tableware,232,7009.535,45.198733449425866,A,1,232,5.9259259259259265
23080,RED METAL BOX TOP SECRET,Bags & Packaging,233,6978.55,45.29499421823151,A,1,233,5.9514687100894
